,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-hydro
0,731.0,258.0,4397.0,3384.0,4052.0,3611.0
1,749.0,255.0,4398.0,3405.0,4017.0,3581.0
2,766.0,253.0,4400.0,3409.0,4011.0,3601.0
3,766.0,253.0,4400.0,3409.0,4011.0,3601.0
4,798.0,247.0,4398.0,3441.0,4068.0,3605.0
5,805.0,254.0,4399.0,3423.0,4043.0,3589.0
6,813.0,256.0,4398.0,3464.0,3986.0,3652.0
7,818.0,254.0,4398.0,3513.0,3950.0,3658.0
8,822.0,256.0,4398.0,3528.0,3855.0,3681.0
9,820.0,255.0,4399.0,3547.0,3817.0,3687.0
10,820.0,255.0,4399.0,3547.0,3817.0,3687.0
11,827.0,254.0,4399.0,3543.0,3800.0,3686.0
12,835.0,255.0,4399.0,3530.0,3817.0,3701.0
13,845.0,252.0,4398.0,3549.0,3832.0,3696.0
14,842.0,256.0,4399.0,3551.0,3820.0,3696.0
15,842.0,256.0,4399.0,3551.0,3820.0,3696.0
16,815.0,260.0,4397.0,3602.0,3813.0,3709.0
17,804.0,259.0,4398.0,3611.0,3792.0,3704.0
18,793.0,262.0,4397.0,3616.0,3762.0,3716.0
19,803.0,263.0,4400.0,3628.0,3757.0,3703.0
20,812.0,264.0,4400.0,3633.0,3744.0,3697.0
21,816.0,259.0,4398.0,3641.0,3749.0,3702.0
22,821.0,258.0,4399.0,3631.0,3753.0,3659.0
23,821.0,258.0,4399.0,3631.0,3753.0,3659.0
24,791.0,252.0,4399.0,3583.0,3790.0,3631.0
25,779.0,252.0,4399.0,3584.0,3812.0,3635.0
26,779.0,255.0,4400.0,3586.0,3832.0,3657.0
27,779.0,255.0,4400.0,3586.0,3832.0,3657.0
28,779.0,255.0,4400.0,3586.0,3832.0,3657.0
29,802.0,259.0,4398.0,3524.0,3876.0,3603.0
30,802.0,259.0,4398.0,3524.0,3876.0,3603.0
31,803.0,263.0,4399.0,3468.0,3907.0,3614.0
32,811.0,264.0,4399.0,3404.0,3934.0,3615.0
33,811.0,264.0,4399.0,3404.0,3934.0,3615.0
34,811.0,261.0,4399.0,3345.0,3977.0,3604.0
35,832.0,263.0,4399.0,3333.0,3968.0,3587.0
36,838.0,264.0,4401.0,3320.0,3966.0,3606.0
37,851.0,262.0,4402.0,3331.0,3973.0,3598.0
38,851.0,262.0,4402.0,3331.0,3973.0,3598.0
39,851.0,262.0,4402.0,3331.0,3973.0,3598.0
40,886.0,262.0,4401.0,3284.0,3967.0,3522.0
41,874.0,264.0,4401.0,3276.0,3988.0,3536.0
42,876.0,266.0,4400.0,3291.0,4010.0,3539.0
43,883.0,264.0,4399.0,3294.0,3974.0,3548.0
44,879.0,268.0,4399.0,3302.0,3957.0,3552.0
45,879.0,268.0,4399.0,3302.0,3957.0,3552.0
46,873.0,263.0,4399.0,3274.0,3994.0,3545.0
47,876.0,265.0,4400.0,3306.0,3991.0,3522.0
48,891.0,260.0,4398.0,3337.0,3985.0,3523.0
49,904.0,261.0,4399.0,3337.0,3936.0,3520.0
50,904.0,261.0,4399.0,3337.0,3936.0,3520.0
51,910.0,267.0,4400.0,3295.0,3912.0,3519.0
52,910.0,267.0,4400.0,3295.0,3912.0,3519.0
53,908.0,266.0,4399.0,3241.0,3940.0,3519.0
54,908.0,266.0,4399.0,3241.0,3940.0,3519.0
55,909.0,262.0,4398.0,3217.0,3950.0,3555.0
56,899.0,266.0,4399.0,3202.0,3936.0,3560.0
57,904.0,266.0,4399.0,3220.0,3874.0,3586.0
58,929.0,265.0,4397.0,3248.0,3824.0,3583.0
59,939.0,262.0,4397.0,3254.0,3839.0,3585.0
60,942.0,261.0,4397.0,3206.0,3874.0,3586.0
61,942.0,261.0,4397.0,3206.0,3874.0,3586.0
62,931.0,259.0,4398.0,3206.0,3911.0,3587.0
63,915.0,259.0,4398.0,3180.0,3966.0,3587.0
64,908.0,259.0,4398.0,3172.0,4000.0,3586.0
65,937.0,256.0,4398.0,3168.0,3980.0,3563.0
66,966.0,263.0,4399.0,3156.0,3971.0,3597.0
67,964.0,261.0,4398.0,3137.0,4014.0,3568.0
68,964.0,261.0,4398.0,3137.0,4014.0,3568.0
69,939.0,258.0,4398.0,3129.0,4103.0,3481.0
70,939.0,258.0,4398.0,3129.0,4103.0,3481.0
71,918.0,262.0,4398.0,3129.0,4058.0,3451.0
72,925.0,260.0,4400.0,3124.0,4012.0,3461.0
73,929.0,261.0,4399.0,3126.0,3968.0,3502.0
74,938.0,264.0,4398.0,3124.0,3903.0,3546.0
75,977.0,263.0,4398.0,3108.0,3882.0,3568.0
76,1009.0,261.0,4399.0,3088.0,3876.0,3557.0
77,1009.0,261.0,4399.0,3088.0,3876.0,3557.0
78,1009.0,261.0,4399.0,3088.0,3876.0,3557.0
79,1008.0,256.0,4399.0,3189.0,4093.0,3547.0
