,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-wind
0,2933.0,4366.0,254.0,3369.0,3010.0,2.0,78.0
1,2908.0,4367.0,255.0,3388.0,3026.0,2.0,83.0
2,2866.0,4365.0,257.0,3422.0,3060.0,2.0,92.0
3,2788.0,4365.0,258.0,3480.0,3072.0,2.0,94.0
4,2762.0,4366.0,257.0,3537.0,3096.0,2.0,96.0
5,2771.0,4366.0,254.0,3523.0,3142.0,2.0,101.0
6,2756.0,4369.0,257.0,3493.0,3154.0,2.0,104.0
7,2752.0,4366.0,256.0,3490.0,3153.0,2.0,116.0
8,2809.0,4367.0,259.0,3465.0,3146.0,2.0,126.0
9,2847.0,4368.0,259.0,3436.0,3151.0,2.0,129.0
10,2894.0,4366.0,255.0,3429.0,3150.0,2.0,137.0
11,2903.0,4364.0,257.0,3407.0,3151.0,2.0,143.0
12,2900.0,4366.0,261.0,3409.0,3149.0,2.0,152.0
13,2895.0,4366.0,261.0,3418.0,3149.0,2.0,155.0
14,2904.0,4366.0,258.0,3447.0,3143.0,2.0,155.0
15,2783.0,4366.0,262.0,3434.0,3138.0,2.0,159.0
16,2691.0,4377.0,265.0,3404.0,3133.0,2.0,165.0
17,2730.0,4386.0,260.0,3416.0,3128.0,2.0,174.0
18,2799.0,4385.0,258.0,3387.0,3122.0,2.0,176.0
19,2808.0,4386.0,264.0,3390.0,3117.0,2.0,179.0
20,2779.0,4388.0,262.0,3390.0,3116.0,2.0,176.0
21,2756.0,4385.0,258.0,3345.0,3116.0,2.0,168.0
22,2718.0,4384.0,260.0,3335.0,3117.0,2.0,176.0
23,2755.0,4387.0,260.0,3323.0,3115.0,2.0,175.0
24,2771.0,4387.0,257.0,3366.0,3116.0,2.0,176.0
25,2799.0,4387.0,253.0,3386.0,3117.0,2.0,173.0
26,2793.0,4386.0,256.0,3380.0,3113.0,2.0,171.0
27,2771.0,4386.0,258.0,3341.0,3105.0,2.0,164.0
28,2781.0,4386.0,260.0,3264.0,3103.0,2.0,161.0
29,2789.0,4387.0,258.0,3228.0,3100.0,2.0,160.0
30,2826.0,4388.0,255.0,3241.0,3104.0,2.0,156.0
31,2852.0,4389.0,255.0,3261.0,3104.0,2.0,150.0
32,2862.0,4386.0,258.0,3262.0,3102.0,2.0,137.0
33,2949.0,4387.0,260.0,3314.0,3127.0,2.0,134.0
34,3004.0,4386.0,260.0,3411.0,3188.0,2.0,136.0
35,3007.0,4386.0,258.0,3405.0,3209.0,2.0,142.0
36,3009.0,4386.0,265.0,3371.0,3194.0,2.0,141.0
37,3004.0,4388.0,266.0,3360.0,3186.0,2.0,151.0
38,2953.0,4388.0,255.0,3351.0,3147.0,2.0,146.0
39,2833.0,4386.0,258.0,3304.0,3120.0,2.0,143.0
40,2743.0,4388.0,256.0,3231.0,3121.0,2.0,140.0
41,2747.0,4386.0,256.0,3218.0,3116.0,2.0,143.0
42,2761.0,4388.0,260.0,3250.0,3112.0,2.0,140.0
43,2778.0,4387.0,261.0,3254.0,3108.0,2.0,133.0
44,2743.0,4386.0,259.0,3263.0,3109.0,2.0,136.0
45,2734.0,4388.0,261.0,3264.0,3108.0,2.0,129.0
46,2746.0,4386.0,260.0,3229.0,3106.0,2.0,123.0
47,2784.0,4387.0,264.0,3229.0,3104.0,2.0,118.0
48,2804.0,4388.0,269.0,3273.0,3104.0,2.0,118.0
49,2816.0,4387.0,267.0,3270.0,3108.0,2.0,118.0
50,2771.0,4387.0,268.0,3276.0,3076.0,2.0,113.0
51,2756.0,4388.0,267.0,3250.0,3027.0,2.0,112.0
52,2751.0,4386.0,269.0,3209.0,3025.0,2.0,101.0
53,2719.0,4387.0,269.0,3241.0,3034.0,2.0,97.0
54,2695.0,4386.0,267.0,3255.0,3033.0,2.0,90.0
55,2681.0,4387.0,261.0,3243.0,3032.0,2.0,88.0
56,2683.0,4388.0,263.0,3219.0,3032.0,2.0,87.0
57,2644.0,4387.0,265.0,3236.0,3033.0,2.0,83.0
58,2680.0,4388.0,266.0,3206.0,3031.0,2.0,86.0
59,2688.0,4387.0,269.0,3186.0,3031.0,2.0,89.0
60,2710.0,4386.0,265.0,3161.0,3032.0,2.0,94.0
61,2685.0,4385.0,259.0,3138.0,3031.0,2.0,101.0
62,2657.0,4387.0,260.0,3134.0,3027.0,2.0,102.0
63,2551.0,4387.0,269.0,3130.0,2988.0,2.0,109.0
64,2508.0,4386.0,273.0,3174.0,2948.0,2.0,109.0
65,2488.0,4387.0,274.0,3135.0,2940.0,2.0,114.0
66,2463.0,4387.0,268.0,3026.0,2944.0,2.0,113.0
67,2448.0,4384.0,262.0,2944.0,2944.0,2.0,114.0
68,2459.0,4386.0,263.0,2963.0,2938.0,2.0,118.0
69,2494.0,4388.0,265.0,3060.0,2935.0,2.0,106.0
70,2472.0,4386.0,268.0,3188.0,2942.0,2.0,113.0
71,2392.0,4385.0,267.0,3299.0,2935.0,2.0,129.0
72,2358.0,4386.0,262.0,3189.0,2916.0,2.0,134.0
73,2349.0,4384.0,259.0,3042.0,2907.0,2.0,137.0
74,2413.0,4386.0,262.0,3050.0,2893.0,2.0,139.0
75,2469.0,4386.0,265.0,3227.0,2854.0,2.0,143.0
76,2508.0,4386.0,264.0,3310.0,2811.0,2.0,132.0
77,2506.0,4386.0,267.0,3370.0,2794.0,2.0,124.0
78,2493.0,4385.0,265.0,3375.0,2802.0,2.0,121.0
79,2524.0,4386.0,263.0,3390.0,2806.0,2.0,117.0
80,2546.0,4386.0,260.0,3381.0,2813.0,2.0,120.0
81,2581.0,4386.0,259.0,3379.0,2819.0,2.0,133.0
82,2558.0,4386.0,260.0,3387.0,2821.0,2.0,148.0
83,2552.0,4386.0,264.0,3401.0,2817.0,2.0,151.0
84,2566.0,4387.0,263.0,3396.0,2826.0,2.0,152.0
85,2536.0,4385.0,264.0,3418.0,2876.0,2.0,144.0
86,2453.0,4385.0,260.0,3459.0,2946.0,2.0,122.0
87,2570.0,4385.0,259.0,3394.0,2965.0,2.0,107.0
88,2621.0,4385.0,256.0,3428.0,2950.0,2.0,90.0
89,2704.0,4386.0,255.0,3484.0,2959.0,2.0,72.0
90,2729.0,4384.0,260.0,3501.0,2980.0,2.0,64.0
91,2805.0,4384.0,259.0,3571.0,2999.0,2.0,63.0
92,2855.0,4386.0,259.0,3668.0,3027.0,2.0,56.0
93,2830.0,4385.0,260.0,3635.0,3033.0,2.0,54.0
94,2845.0,4385.0,259.0,3568.0,3034.0,2.0,53.0
95,2855.0,4386.0,256.0,3632.0,3030.0,2.0,55.0
96,2825.0,4387.0,257.0,3705.0,3028.0,2.0,62.0
97,2824.0,4385.0,259.0,3708.0,3038.0,2.0,50.0
98,2927.0,4386.0,258.0,3774.0,3067.0,2.0,36.0
99,2976.0,4385.0,255.0,3792.0,3100.0,2.0,31.0
100,2970.0,4386.0,255.0,3793.0,3095.0,2.0,22.0
101,2949.0,4385.0,259.0,3860.0,3094.0,2.0,25.0
102,2986.0,4385.0,257.0,3912.0,3102.0,2.0,26.0
103,3032.0,4384.0,253.0,3944.0,3121.0,2.0,23.0
104,3071.0,4386.0,256.0,3977.0,3148.0,2.0,24.0
105,3119.0,4386.0,254.0,4040.0,3173.0,2.0,22.0
106,3191.0,4386.0,257.0,4104.0,3210.0,2.0,24.0
107,3188.0,4386.0,259.0,4175.0,3213.0,2.0,29.0
108,3139.0,4386.0,259.0,4163.0,3228.0,2.0,28.0
109,3109.0,4385.0,258.0,4150.0,3235.0,2.0,31.0
110,3136.0,4387.0,256.0,4169.0,3252.0,2.0,31.0
111,3132.0,4385.0,258.0,4259.0,3261.0,2.0,32.0
