,electricity-lbmp-nyiso-north,electricity-lbmp-nyiso-dunwod,electricity-lbmp-nyiso-h_q,electricity-lbmp-nyiso-hud_valley,electricity-lbmp-nyiso-nyc,electricity-lbmp-nyiso-pjm,electricity-lbmp-nyiso-west,electricity-lbmp-nyiso-millwd,electricity-lbmp-nyiso-genese,electricity-lbmp-nyiso-longil,electricity-lbmp-nyiso-o_h,electricity-lbmp-nyiso-centrl,electricity-lbmp-nyiso-mhk_valley,electricity-lbmp-nyiso-capitl,electricity-lbmp-nyiso-npx
0,43.24,46.7,42.29,42.04,47.0,43.98,41.82,46.66,42.21,46.96,40.35,43.46,45.23,68.78,96.19
1,43.38,46.94,42.43,46.59,47.24,44.04,41.78,46.9,42.26,47.24,40.35,43.51,45.38,47.55,63.56
2,35.17,38.06,34.43,37.77,38.34,35.81,34.08,38.02,34.43,38.34,32.96,35.38,36.83,38.34,28.73
3,43.02,46.55,42.08,46.21,46.9,43.88,41.77,46.51,42.12,46.94,40.35,43.33,45.09,46.81,37.16
4,43.1,46.55,42.2,46.25,46.9,43.79,41.77,46.55,42.16,46.94,40.34,43.32,45.17,47.07,37.42
5,43.38,46.9,42.47,46.59,47.2,43.91,41.69,46.9,42.26,47.2,40.35,43.43,45.42,47.55,51.77
6,43.57,47.1,42.65,46.8,47.45,44.05,41.7,47.1,42.31,47.45,40.35,43.53,45.58,47.84,52.06
7,43.72,47.34,42.8,47.0,47.69,44.2,41.75,47.34,42.36,47.65,40.35,43.67,45.69,47.96,52.27
8,43.67,47.29,42.75,42.71,47.6,44.19,41.7,47.25,42.36,47.55,40.35,43.62,45.63,68.72,79.46
9,43.15,46.68,42.2,46.34,46.98,43.97,41.81,46.64,42.11,46.94,40.34,43.32,45.05,47.37,47.03
10,49.53,53.64,48.44,53.24,54.03,50.47,48.09,53.58,48.39,54.08,46.41,49.68,51.71,54.43,54.03
11,49.82,54.0,48.72,53.55,54.35,50.82,48.58,53.95,48.88,54.4,46.99,50.02,52.06,54.6,54.2
12,53.47,57.96,52.3,57.48,58.33,54.54,52.14,57.91,52.46,58.55,50.43,53.74,55.88,58.55,58.07
13,69.96,75.91,68.42,75.28,76.4,71.36,67.94,75.83,68.36,76.88,65.56,70.25,73.18,76.61,76.05
14,81.6,88.52,79.72,87.79,89.01,82.98,78.51,88.35,79.24,89.9,75.73,81.76,85.18,89.33,88.77
15,81.42,88.32,79.63,87.6,88.89,82.79,78.41,88.24,79.14,89.86,75.73,81.58,84.99,89.13,88.57
16,70.11,75.98,68.49,75.35,76.33,71.44,68.01,75.91,68.43,77.46,65.63,70.32,73.19,76.75,76.19
17,70.12,76.07,68.57,75.37,76.49,71.52,68.16,76.0,68.51,77.55,65.77,70.4,73.27,76.99,76.42
18,80.98,87.86,79.2,87.13,88.34,82.52,78.39,87.78,78.96,89.72,75.65,81.23,84.63,88.91,88.34
19,69.36,74.97,67.77,74.42,75.46,70.82,67.91,74.9,68.11,108.57,65.55,69.78,72.48,76.01,75.38
20,69.36,74.97,67.77,74.42,75.46,70.82,67.91,74.9,68.11,108.57,65.55,69.78,72.48,76.01,75.38
21,69.36,74.97,67.77,74.42,75.46,70.82,67.91,74.9,68.11,108.57,65.55,69.78,72.48,76.01,75.38
22,80.67,86.27,78.35,85.63,86.66,81.63,78.44,86.27,78.52,88.18,75.56,80.59,83.87,87.22,86.5
23,85.41,90.98,82.89,90.31,91.48,86.09,82.89,90.98,83.06,92.83,80.02,84.91,88.62,92.07,91.24
24,85.25,91.06,82.81,90.31,91.48,85.83,82.38,90.98,82.81,92.92,79.69,84.66,88.45,92.07,91.23
25,85.08,91.15,82.72,90.38,91.56,85.92,82.22,91.06,82.55,93.0,79.35,84.75,88.45,92.07,91.32
26,84.93,90.89,82.57,90.22,91.4,85.77,81.99,90.89,82.4,92.83,79.12,84.51,88.29,91.99,91.32
27,84.85,90.72,82.41,89.97,91.14,85.51,81.83,90.64,82.33,92.49,79.05,84.34,88.12,91.9,91.14
28,84.76,90.81,82.41,90.13,91.31,85.51,81.57,90.72,82.16,92.57,78.8,84.26,88.03,91.9,91.31
29,85.72,91.74,83.26,90.97,92.25,86.39,82.5,91.65,83.0,93.44,79.7,85.21,88.94,92.84,92.16
30,84.93,90.81,82.49,90.13,91.31,85.52,81.74,90.73,82.32,92.48,78.97,84.43,88.12,91.99,91.31
31,84.69,90.73,82.34,89.97,91.23,85.36,81.5,90.64,82.09,92.41,78.73,84.19,87.96,91.9,91.23
32,84.69,90.73,82.34,90.06,91.23,85.44,81.59,90.64,82.09,92.49,78.73,84.19,87.96,91.82,91.14
33,84.69,90.73,82.34,90.06,91.31,85.44,81.5,90.64,82.01,92.41,78.73,84.19,87.96,91.82,91.14
34,93.71,100.79,91.38,100.04,101.44,95.11,91.1,100.69,91.48,102.55,87.94,93.81,97.62,102.28,101.54
35,67.54,73.13,66.06,72.52,73.67,68.75,65.98,73.07,66.32,88.81,63.89,67.74,70.57,74.01,73.54
36,68.12,73.63,66.56,73.09,74.17,69.48,66.77,73.56,67.04,88.81,64.59,68.53,71.25,74.58,74.11
37,70.78,76.42,69.15,75.79,76.92,71.98,69.08,76.35,69.51,88.82,66.89,70.92,73.88,77.48,76.92
38,78.94,85.07,77.05,84.36,85.62,80.28,77.13,84.99,77.44,92.23,74.53,79.18,82.32,86.17,85.54
