,electricity-load-nyiso-capitl,electricity-load-nyiso-west,electricity-load-nyiso-millwd,electricity-load-nyiso-hud_valley,electricity-load-nyiso-north,electricity-load-nyiso-centrl,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-nyc,electricity-load-nyiso-longil,electricity-load-nyiso-dunwod,electricity-load-nyiso-overall,electricity-load-nyiso-genese
0,1570.6125,1848.1996,353.6974,1168.1876,709.9102,2082.458,1080.77,5728.5967,2220.8784,678.6116,18697.1987,1255.2767
1,1568.8102,1888.2905,364.933,1147.2205,718.8705,2082.1016,1074.2252,5757.88,2220.8245,685.8162,18773.4743,1264.5021
2,1588.8811,1860.5377,361.5114,1172.0839,703.2292,2094.3965,1078.394,5735.6445,2241.7427,689.0958,18789.2529,1263.7361
3,1590.0266,1854.7795,383.1066,1144.2588,699.4848,2096.455,1085.1841,5783.5654,2250.228,705.0535,18857.1033,1264.961
4,1579.9409,1891.4985,376.3657,1130.8052,709.5568,2094.8936,1077.9008,5804.302,2246.8235,704.4646,18883.0235,1266.4719
5,1588.3015,1874.2668,376.0519,1177.4799,702.7651,2105.8164,1076.8806,5739.919,2244.2532,692.1307,18854.073800000002,1276.2087
6,1582.9509,1875.0643,360.0218,1160.5654,699.4233,2116.0051,1085.3854,5788.009,2245.9932,688.6714,18879.9453,1277.8555
7,1585.1895,1881.6937,362.6893,1199.5659,697.3699,2115.8687,1082.9258,5747.9775,2265.1868,681.4171,18899.7472,1279.863
8,1587.2493,1899.0498,367.1985,1182.0687,707.4983,2123.7668,1091.5592,5791.16,2263.1655,687.2789,18984.039,1284.044
9,1600.3048,1907.2229,367.0918,1172.0515,698.27,2065.0518,1085.5385,5748.126,2273.1787,681.8084,18881.7065,1283.0621
10,1593.69,1928.4811,376.7189,1142.1964,711.3769,2102.2974,1090.2362,5747.0723,2253.6455,685.3117,18913.1066,1282.0802
11,1595.9683,1925.9022,381.7692,1147.2212,707.5377,2104.5635,1087.7401,5736.7314,2257.3013,682.9757,18910.7973,1283.0867
12,1590.9327,1896.9207,381.4349,1155.6934,698.3221,2133.0796,1082.81,5783.464,2257.0054,688.8714,18964.5994,1296.0652
13,1588.9133,1908.7495,381.6676,1154.4696,705.5829,2117.4622,1085.5381,5771.966,2235.6848,681.2808,18921.031499999997,1289.7167
14,1579.1687,1951.1392,391.0806,1128.0262,708.1267,2096.1914,1096.1807,5725.8755,2241.939,674.8937,18881.354900000002,1288.7332
15,1584.9851,1917.3035,356.2462,1194.7683,702.9412,2118.6572,1094.6345,5755.509,2221.9116,681.7694,18931.197099999998,1302.4711
16,1601.393,1939.6001,367.1874,1184.0085,701.4763,2103.2793,1096.1548,5777.915,2234.0103,700.8747,19009.6891,1303.7897
17,1588.9734,1950.2319,376.6741,1170.8319,701.9095,2149.3596,1084.9763,5766.626,2205.6353,686.663,18985.7797,1303.8987
18,1584.941,1927.5955,380.0278,1155.7826,710.2459,2135.5227,1084.9369,5796.551,2193.4214,685.7216,18970.084300000002,1315.3379
19,1591.639,1941.5266,369.9468,1151.5938,704.8212,2134.8047,1086.4482,5788.1396,2197.9434,690.659,18979.8848,1322.3625
