,emojitracker-twitter-smiling_cat_face_with_heart-shaped_eyes,emojitracker-twitter-cat_face,emojitracker-twitter-cat_face_with_tears_of_joy,emojitracker-twitter-pouting_cat_face,emojitracker-twitter-cat_face_with_wry_smile,emojitracker-twitter-smiling_cat_face_with_open_mouth,emojitracker-twitter-kissing_cat_face_with_closed_eyes,emojitracker-twitter-grinning_cat_face_with_smiling_eyes,emojitracker-twitter-crying_cat_face
0,10.0,6.0,13.0,7.0,10.0,3.0,6.0,5.0,1.0
1,11.0,4.0,12.0,4.0,13.0,3.0,4.0,3.0,10.0
2,11.0,9.0,22.0,8.0,12.0,2.0,4.0,3.0,4.0
3,16.0,10.0,12.0,11.0,8.0,2.0,2.0,3.0,9.0
4,20.0,6.0,11.0,5.0,9.0,2.0,8.0,5.0,9.0
5,15.0,6.0,17.0,10.0,10.0,4.0,7.0,4.0,8.0
6,11.0,2.0,9.0,5.0,13.0,3.0,5.0,2.0,8.0
7,14.0,4.0,11.0,6.0,14.0,4.0,5.0,6.0,9.0
8,8.0,5.0,11.0,3.0,18.0,4.0,6.0,5.0,5.0
9,10.0,8.0,20.0,6.0,11.0,1.0,7.0,7.0,7.0
10,16.0,4.0,13.0,6.0,15.0,4.0,5.0,5.0,7.0
11,16.0,3.0,17.0,8.0,9.0,7.0,6.0,5.0,8.0
12,10.0,6.0,12.0,4.0,9.0,2.0,5.0,5.0,2.0
13,8.0,4.0,8.0,9.0,9.0,5.0,10.0,3.0,12.0
14,14.0,1.0,17.0,6.0,8.0,0.0,5.0,10.0,10.0
15,14.0,5.0,16.0,6.0,8.0,4.0,3.0,4.0,5.0
16,14.0,5.0,11.0,8.0,14.0,0.0,6.0,4.0,10.0
17,15.0,1.0,13.0,9.0,19.0,2.0,6.0,7.0,8.0
18,10.0,5.0,14.0,4.0,9.0,1.0,9.0,3.0,11.0
19,17.0,6.0,15.0,7.0,13.0,2.0,10.0,8.0,6.0
20,23.0,7.0,20.0,15.0,14.0,3.0,10.0,2.0,11.0
21,13.0,7.0,19.0,4.0,17.0,2.0,4.0,6.0,12.0
22,14.0,4.0,17.0,7.0,13.0,4.0,9.0,4.0,16.0
23,15.0,5.0,12.0,6.0,15.0,2.0,5.0,9.0,11.0
24,16.0,9.0,12.0,6.0,16.0,3.0,11.0,2.0,14.0
25,16.0,5.0,16.0,4.0,12.0,2.0,4.0,7.0,14.0
26,11.0,7.0,12.0,8.0,8.0,4.0,7.0,5.0,17.0
27,13.0,7.0,20.0,5.0,13.0,5.0,4.0,5.0,12.0
28,13.0,2.0,17.0,8.0,14.0,0.0,7.0,4.0,14.0
29,11.0,4.0,16.0,7.0,6.0,5.0,9.0,2.0,6.0
30,13.0,7.0,12.0,9.0,13.0,1.0,12.0,5.0,13.0
31,17.0,9.0,15.0,13.0,19.0,5.0,15.0,7.0,17.0
32,24.0,6.0,14.0,12.0,7.0,1.0,9.0,4.0,8.0
33,14.0,3.0,9.0,7.0,4.0,3.0,8.0,2.0,5.0
34,18.0,8.0,18.0,7.0,16.0,3.0,7.0,3.0,7.0
35,21.0,8.0,11.0,9.0,20.0,3.0,8.0,2.0,6.0
36,15.0,6.0,18.0,8.0,21.0,3.0,11.0,3.0,12.0
37,24.0,3.0,12.0,2.0,15.0,1.0,13.0,2.0,11.0
38,18.0,5.0,22.0,3.0,16.0,3.0,8.0,9.0,4.0
39,16.0,3.0,11.0,7.0,13.0,2.0,8.0,10.0,10.0
40,15.0,6.0,16.0,3.0,16.0,1.0,6.0,6.0,15.0
41,21.0,7.0,16.0,9.0,18.0,2.0,4.0,6.0,16.0
42,8.0,4.0,24.0,11.0,13.0,2.0,8.0,6.0,14.0
43,17.0,6.0,19.0,7.0,15.0,5.0,6.0,3.0,10.0
44,16.0,4.0,13.0,12.0,14.0,2.0,7.0,7.0,7.0
45,22.0,8.0,21.0,8.0,23.0,4.0,5.0,9.0,14.0
46,13.0,8.0,9.0,10.0,16.0,3.0,9.0,0.0,6.0
47,12.0,3.0,16.0,5.0,23.0,8.0,8.0,5.0,10.0
48,9.0,6.0,15.0,8.0,11.0,1.0,6.0,2.0,11.0
49,14.0,4.0,13.0,5.0,10.0,1.0,7.0,5.0,6.0
50,24.0,4.0,13.0,4.0,19.0,8.0,8.0,10.0,13.0
51,17.0,8.0,17.0,4.0,17.0,3.0,6.0,7.0,7.0
52,13.0,4.0,12.0,7.0,6.0,4.0,4.0,6.0,6.0
53,16.0,5.0,11.0,6.0,20.0,6.0,3.0,3.0,7.0
54,17.0,5.0,18.0,12.0,18.0,4.0,9.0,6.0,10.0
55,18.0,3.0,14.0,2.0,11.0,5.0,6.0,5.0,5.0
56,18.0,2.0,16.0,10.0,13.0,3.0,5.0,9.0,6.0
57,21.0,4.0,20.0,5.0,15.0,6.0,1.0,4.0,14.0
58,17.0,9.0,24.0,4.0,16.0,6.0,6.0,6.0,6.0
59,14.0,4.0,15.0,10.0,12.0,2.0,7.0,4.0,6.0
60,12.0,4.0,13.0,2.0,12.0,2.0,8.0,2.0,8.0
61,19.0,5.0,13.0,4.0,16.0,3.0,7.0,2.0,5.0
62,7.0,5.0,24.0,3.0,7.0,1.0,8.0,6.0,5.0
63,26.0,4.0,20.0,7.0,11.0,2.0,10.0,6.0,4.0
64,10.0,4.0,8.0,9.0,12.0,1.0,7.0,5.0,9.0
65,14.0,4.0,15.0,5.0,14.0,4.0,6.0,4.0,9.0
66,11.0,9.0,23.0,5.0,12.0,4.0,7.0,1.0,12.0
67,19.0,3.0,14.0,3.0,11.0,4.0,5.0,4.0,7.0
68,9.0,11.0,15.0,11.0,10.0,4.0,5.0,4.0,10.0
69,10.0,4.0,17.0,6.0,10.0,4.0,6.0,6.0,15.0
70,16.0,3.0,16.0,8.0,7.0,3.0,9.0,2.0,11.0
71,13.0,5.0,20.0,10.0,15.0,2.0,5.0,1.0,4.0
72,18.0,0.0,12.0,4.0,15.0,2.0,13.0,6.0,7.0
73,25.0,2.0,13.0,9.0,21.0,1.0,8.0,7.0,10.0
74,19.0,11.0,15.0,6.0,10.0,6.0,1.0,5.0,8.0
75,19.0,3.0,17.0,6.0,18.0,2.0,10.0,6.0,8.0
76,17.0,10.0,15.0,5.0,24.0,4.0,11.0,6.0,9.0
77,17.0,4.0,18.0,13.0,15.0,6.0,4.0,6.0,16.0
78,22.0,2.0,20.0,9.0,15.0,3.0,9.0,6.0,11.0
