,emojitracker-twitter-disappointed_but_relieved_face,emojitracker-twitter-disappointed_face
0,21.0,25.0
1,12.0,28.0
2,14.0,33.0
3,20.0,34.0
4,16.0,33.0
5,19.0,38.0
6,15.0,18.0
7,13.0,27.0
8,27.0,34.0
9,15.0,41.0
10,12.0,30.0
11,10.0,36.0
12,22.0,35.0
13,24.0,25.0
14,19.0,30.0
15,13.0,26.0
16,18.0,29.0
17,17.0,20.0
18,18.0,22.0
19,21.0,40.0
20,17.0,30.0
21,16.0,27.0
22,11.0,32.0
23,15.0,26.0
24,19.0,26.0
25,18.0,23.0
26,21.0,25.0
27,21.0,25.0
28,17.0,24.0
29,12.0,35.0
30,17.0,21.0
31,13.0,27.0
32,15.0,29.0
33,25.0,33.0
34,17.0,36.0
35,13.0,35.0
36,26.0,34.0
37,14.0,27.0
38,20.0,30.0
39,24.0,33.0
40,15.0,35.0
41,15.0,31.0
42,17.0,37.0
43,16.0,41.0
44,19.0,31.0
45,19.0,37.0
46,18.0,26.0
47,23.0,28.0
48,22.0,30.0
49,17.0,27.0
50,21.0,31.0
51,21.0,25.0
52,16.0,36.0
53,16.0,25.0
54,17.0,37.0
55,19.0,22.0
56,16.0,29.0
57,25.0,26.0
58,21.0,33.0
59,19.0,30.0
60,22.0,32.0
61,20.0,21.0
62,20.0,28.0
63,16.0,27.0
64,28.0,31.0
65,15.0,32.0
66,12.0,44.0
67,11.0,35.0
68,17.0,36.0
69,22.0,24.0
70,21.0,35.0
71,20.0,36.0
72,19.0,28.0
73,21.0,20.0
74,17.0,32.0
75,14.0,25.0
76,15.0,38.0
77,26.0,30.0
78,20.0,33.0
79,16.0,34.0
80,23.0,36.0
81,21.0,38.0
82,16.0,31.0
83,22.0,41.0
84,21.0,44.0
85,11.0,26.0
86,21.0,25.0
87,21.0,42.0
88,22.0,22.0
89,13.0,35.0
90,17.0,33.0
91,17.0,32.0
92,18.0,30.0
93,14.0,31.0
94,20.0,33.0
95,22.0,24.0
96,21.0,33.0
97,19.0,36.0
98,19.0,41.0
99,27.0,31.0
100,22.0,40.0
101,19.0,36.0
102,20.0,27.0
103,23.0,29.0
104,15.0,32.0
105,25.0,45.0
106,26.0,47.0
107,22.0,31.0
108,21.0,44.0
109,17.0,28.0
110,20.0,32.0
111,26.0,34.0
112,16.0,39.0
113,22.0,26.0
114,24.0,46.0
115,14.0,29.0
116,20.0,39.0
117,19.0,30.0
118,15.0,23.0
119,21.0,40.0
120,28.0,43.0
121,15.0,37.0
122,26.0,39.0
123,13.0,38.0
124,20.0,31.0
125,13.0,28.0
126,15.0,42.0
127,20.0,34.0
128,16.0,44.0
129,23.0,46.0
130,22.0,40.0
131,25.0,33.0
132,29.0,38.0
133,21.0,51.0
134,18.0,45.0
135,25.0,29.0
136,15.0,29.0
137,15.0,40.0
138,11.0,37.0
139,22.0,37.0
140,20.0,39.0
141,23.0,37.0
142,17.0,31.0
143,19.0,42.0
144,21.0,24.0
145,20.0,40.0
146,25.0,38.0
147,14.0,35.0
148,25.0,30.0
149,22.0,36.0
150,24.0,31.0
151,16.0,34.0
152,18.0,43.0
153,21.0,25.0
154,26.0,21.0
155,16.0,33.0
156,20.0,39.0
157,23.0,37.0
158,21.0,48.0
159,22.0,44.0
160,20.0,33.0
161,13.0,40.0
162,22.0,53.0
163,19.0,33.0
164,26.0,33.0
165,21.0,34.0
166,22.0,35.0
167,27.0,31.0
168,28.0,43.0
169,20.0,41.0
170,30.0,50.0
171,22.0,30.0
172,36.0,32.0
173,22.0,40.0
174,24.0,37.0
175,20.0,34.0
176,21.0,36.0
177,20.0,40.0
178,22.0,37.0
179,28.0,40.0
180,23.0,43.0
181,20.0,38.0
182,21.0,25.0
183,24.0,35.0
184,30.0,37.0
185,21.0,36.0
186,27.0,46.0
187,13.0,50.0
188,28.0,31.0
189,24.0,41.0
190,29.0,44.0
191,29.0,59.0
192,28.0,48.0
193,16.0,37.0
194,25.0,44.0
195,17.0,43.0
196,22.0,37.0
197,28.0,43.0
198,22.0,33.0
199,24.0,37.0
200,27.0,44.0
201,15.0,28.0
202,22.0,43.0
203,23.0,33.0
204,32.0,40.0
205,26.0,46.0
206,33.0,38.0
207,35.0,33.0
208,31.0,41.0
209,22.0,37.0
210,22.0,32.0
211,16.0,37.0
212,21.0,29.0
213,25.0,40.0
214,26.0,38.0
215,27.0,37.0
216,36.0,48.0
217,29.0,43.0
218,21.0,54.0
219,19.0,38.0
220,29.0,37.0
221,26.0,44.0
222,23.0,33.0
223,19.0,37.0
224,28.0,48.0
225,35.0,53.0
226,25.0,40.0
227,28.0,41.0
228,21.0,45.0
229,34.0,41.0
230,17.0,39.0
231,30.0,42.0
232,25.0,40.0
233,26.0,51.0
234,32.0,49.0
235,20.0,47.0
236,22.0,53.0
237,18.0,48.0
238,24.0,46.0
239,37.0,51.0
240,21.0,45.0
241,33.0,40.0
242,38.0,45.0
243,27.0,58.0
244,25.0,45.0
245,29.0,40.0
246,38.0,40.0
247,36.0,56.0
248,24.0,50.0
249,26.0,31.0
250,37.0,44.0
251,32.0,36.0
252,28.0,61.0
253,16.0,59.0
254,26.0,37.0
255,18.0,48.0
256,29.0,33.0
257,28.0,41.0
258,25.0,43.0
259,22.0,53.0
260,28.0,46.0
261,32.0,45.0
262,26.0,41.0
263,19.0,43.0
264,25.0,45.0
265,23.0,47.0
266,29.0,41.0
267,15.0,50.0
268,23.0,41.0
269,24.0,47.0
270,16.0,48.0
271,25.0,39.0
272,24.0,45.0
273,13.0,38.0
274,20.0,44.0
275,28.0,34.0
276,30.0,43.0
277,26.0,51.0
278,23.0,44.0
279,31.0,63.0
280,21.0,46.0
281,26.0,30.0
282,33.0,42.0
283,25.0,50.0
284,35.0,46.0
285,24.0,61.0
286,24.0,44.0
287,33.0,40.0
288,28.0,57.0
289,26.0,56.0
290,28.0,58.0
291,33.0,53.0
292,36.0,60.0
293,25.0,40.0
294,16.0,48.0
295,29.0,43.0
296,28.0,57.0
297,32.0,49.0
298,21.0,48.0
299,33.0,51.0
300,26.0,54.0
301,25.0,44.0
302,31.0,45.0
303,28.0,51.0
304,28.0,53.0
305,26.0,55.0
306,30.0,49.0
307,40.0,40.0
308,28.0,53.0
309,26.0,41.0
310,29.0,53.0
311,29.0,55.0
312,35.0,52.0
313,28.0,44.0
314,14.0,51.0
315,32.0,64.0
316,21.0,48.0
317,24.0,50.0
318,22.0,47.0
319,36.0,62.0
320,32.0,58.0
321,21.0,43.0
322,21.0,48.0
323,31.0,42.0
324,29.0,57.0
325,29.0,55.0
326,30.0,65.0
327,18.0,48.0
328,33.0,54.0
329,22.0,50.0
330,35.0,45.0
331,43.0,50.0
332,28.0,51.0
333,30.0,52.0
334,39.0,68.0
335,33.0,49.0
336,28.0,43.0
337,34.0,54.0
338,30.0,60.0
339,35.0,48.0
340,40.0,52.0
341,34.0,51.0
342,28.0,64.0
343,31.0,61.0
344,39.0,47.0
345,37.0,42.0
346,37.0,52.0
347,28.0,56.0
348,28.0,62.0
349,36.0,57.0
350,26.0,53.0
351,26.0,74.0
352,35.0,55.0
353,29.0,67.0
354,23.0,44.0
355,39.0,45.0
356,36.0,51.0
357,27.0,46.0
358,37.0,54.0
359,36.0,52.0
360,19.0,59.0
361,27.0,53.0
362,44.0,45.0
363,21.0,44.0
364,31.0,58.0
365,30.0,44.0
366,30.0,58.0
367,29.0,55.0
368,36.0,50.0
369,30.0,56.0
370,37.0,52.0
371,39.0,48.0
372,26.0,55.0
373,22.0,44.0
374,32.0,35.0
375,36.0,47.0
376,35.0,51.0
377,18.0,51.0
378,21.0,61.0
379,31.0,55.0
380,24.0,48.0
381,22.0,55.0
382,25.0,53.0
383,27.0,50.0
384,26.0,62.0
385,23.0,36.0
386,33.0,49.0
387,26.0,50.0
388,25.0,47.0
389,22.0,50.0
390,32.0,50.0
391,33.0,50.0
392,34.0,70.0
393,29.0,63.0
394,27.0,48.0
395,30.0,51.0
396,33.0,56.0
397,22.0,56.0
398,33.0,68.0
399,24.0,48.0
400,26.0,58.0
401,28.0,42.0
402,35.0,38.0
403,21.0,63.0
404,29.0,42.0
405,35.0,53.0
406,24.0,38.0
407,22.0,52.0
408,28.0,50.0
409,25.0,53.0
410,21.0,54.0
411,34.0,53.0
412,26.0,38.0
413,27.0,58.0
414,26.0,44.0
415,19.0,59.0
416,30.0,67.0
417,34.0,49.0
418,28.0,54.0
419,26.0,59.0
420,26.0,41.0
421,20.0,45.0
422,31.0,48.0
423,22.0,37.0
424,21.0,54.0
425,29.0,48.0
426,14.0,49.0
427,23.0,54.0
428,23.0,63.0
429,19.0,52.0
430,19.0,49.0
431,27.0,44.0
432,20.0,53.0
433,30.0,50.0
434,19.0,44.0
435,29.0,54.0
436,27.0,55.0
437,25.0,55.0
438,24.0,51.0
439,22.0,43.0
440,22.0,44.0
441,22.0,47.0
442,15.0,60.0
443,37.0,50.0
444,24.0,51.0
445,30.0,37.0
446,28.0,52.0
447,26.0,59.0
448,23.0,59.0
449,28.0,48.0
450,23.0,47.0
451,25.0,62.0
452,14.0,48.0
453,28.0,45.0
454,22.0,51.0
455,23.0,53.0
456,23.0,56.0
457,25.0,41.0
458,20.0,38.0
459,31.0,39.0
460,18.0,62.0
461,25.0,44.0
462,19.0,54.0
463,23.0,50.0
464,34.0,47.0
465,31.0,46.0
466,25.0,44.0
467,17.0,44.0
468,22.0,52.0
469,30.0,53.0
470,27.0,57.0
471,20.0,55.0
472,25.0,33.0
473,18.0,51.0
474,31.0,46.0
475,25.0,38.0
476,28.0,53.0
477,24.0,54.0
478,28.0,46.0
479,31.0,43.0
480,25.0,59.0
481,30.0,43.0
482,23.0,44.0
483,22.0,35.0
484,21.0,54.0
485,25.0,55.0
486,10.0,48.0
487,16.0,58.0
488,21.0,48.0
489,20.0,43.0
490,24.0,52.0
491,30.0,45.0
492,26.0,49.0
493,23.0,46.0
494,27.0,45.0
495,22.0,45.0
496,25.0,45.0
497,30.0,37.0
498,31.0,41.0
499,20.0,44.0
500,22.0,49.0
501,28.0,53.0
502,21.0,62.0
503,15.0,59.0
504,18.0,61.0
505,26.0,44.0
506,31.0,63.0
507,30.0,57.0
508,25.0,44.0
509,20.0,45.0
510,30.0,42.0
511,25.0,44.0
512,27.0,44.0
513,21.0,53.0
514,28.0,53.0
515,23.0,53.0
516,24.0,43.0
517,19.0,45.0
518,23.0,33.0
519,20.0,51.0
520,32.0,43.0
521,24.0,41.0
522,22.0,58.0
523,21.0,51.0
524,24.0,46.0
525,24.0,47.0
526,20.0,60.0
527,19.0,59.0
528,28.0,46.0
529,26.0,59.0
530,38.0,46.0
531,20.0,59.0
532,23.0,53.0
533,21.0,52.0
534,20.0,43.0
535,32.0,49.0
536,15.0,51.0
537,21.0,52.0
538,17.0,44.0
539,19.0,44.0
540,17.0,54.0
541,23.0,45.0
542,22.0,59.0
543,21.0,40.0
544,23.0,54.0
545,16.0,55.0
546,27.0,50.0
547,19.0,46.0
548,24.0,42.0
549,19.0,41.0
550,25.0,48.0
551,23.0,40.0
552,20.0,52.0
553,17.0,42.0
554,15.0,49.0
555,20.0,57.0
556,15.0,32.0
557,15.0,53.0
558,22.0,48.0
559,14.0,75.0
560,22.0,42.0
561,22.0,41.0
562,23.0,48.0
563,16.0,46.0
564,14.0,42.0
565,23.0,52.0
566,34.0,41.0
567,16.0,37.0
568,20.0,59.0
569,26.0,39.0
570,14.0,64.0
571,21.0,45.0
572,20.0,45.0
573,22.0,44.0
574,17.0,46.0
575,14.0,54.0
576,23.0,64.0
577,20.0,35.0
578,19.0,48.0
579,28.0,40.0
580,25.0,56.0
581,26.0,40.0
582,16.0,38.0
583,17.0,49.0
584,23.0,43.0
585,20.0,45.0
586,30.0,50.0
587,20.0,25.0
588,25.0,43.0
589,15.0,60.0
590,16.0,43.0
591,22.0,47.0
592,19.0,49.0
593,21.0,51.0
594,22.0,34.0
595,29.0,61.0
596,19.0,57.0
597,20.0,44.0
598,23.0,62.0
599,15.0,49.0
600,25.0,52.0
601,11.0,48.0
602,10.0,38.0
603,24.0,50.0
604,15.0,50.0
605,30.0,44.0
606,24.0,52.0
607,18.0,50.0
608,18.0,66.0
609,19.0,50.0
610,13.0,44.0
611,21.0,53.0
612,14.0,45.0
613,18.0,53.0
614,20.0,57.0
615,19.0,52.0
616,12.0,60.0
617,19.0,46.0
618,26.0,55.0
619,20.0,47.0
620,28.0,49.0
621,20.0,39.0
622,21.0,52.0
623,22.0,57.0
624,12.0,50.0
625,19.0,44.0
626,15.0,48.0
627,20.0,47.0
628,17.0,46.0
629,31.0,47.0
630,27.0,59.0
631,15.0,61.0
632,21.0,55.0
633,24.0,51.0
634,14.0,41.0
635,22.0,46.0
636,22.0,51.0
637,14.0,54.0
638,32.0,47.0
639,23.0,37.0
640,20.0,40.0
641,14.0,46.0
642,20.0,59.0
643,25.0,53.0
644,17.0,43.0
645,24.0,59.0
646,22.0,40.0
647,23.0,51.0
648,19.0,37.0
649,19.0,42.0
