,emojitracker-twitter-disappointed_but_relieved_face,emojitracker-twitter-disappointed_face
0,23.0,27.0
1,25.0,27.0
2,16.0,22.0
3,12.0,17.0
4,4.0,25.0
5,13.0,19.0
6,9.0,32.0
7,17.0,26.0
8,16.0,32.0
9,11.0,22.0
10,19.0,32.0
11,14.0,25.0
12,11.0,27.0
13,13.0,20.0
14,14.0,29.0
15,16.0,21.0
16,18.0,24.0
17,15.0,26.0
18,20.0,24.0
19,15.0,22.0
20,13.0,24.0
21,7.0,24.0
22,16.0,13.0
23,13.0,21.0
24,12.0,24.0
25,15.0,22.0
26,16.0,31.0
27,19.0,22.0
28,9.0,29.0
29,8.0,20.0
30,9.0,36.0
31,23.0,22.0
32,12.0,29.0
33,11.0,24.0
34,14.0,14.0
35,8.0,28.0
36,10.0,26.0
37,16.0,24.0
38,14.0,21.0
39,14.0,27.0
40,16.0,26.0
41,12.0,21.0
42,13.0,30.0
43,22.0,21.0
44,16.0,30.0
45,15.0,25.0
46,14.0,20.0
47,15.0,29.0
48,13.0,30.0
49,17.0,28.0
50,17.0,20.0
51,13.0,29.0
52,15.0,22.0
53,26.0,37.0
54,13.0,26.0
55,18.0,28.0
56,18.0,24.0
57,20.0,28.0
58,19.0,28.0
59,16.0,25.0
60,19.0,24.0
61,18.0,32.0
62,17.0,21.0
63,10.0,31.0
64,19.0,25.0
65,16.0,34.0
66,15.0,22.0
67,11.0,27.0
68,19.0,26.0
69,16.0,27.0
70,20.0,21.0
71,17.0,29.0
72,8.0,23.0
73,19.0,24.0
74,18.0,26.0
75,12.0,23.0
76,15.0,22.0
77,21.0,23.0
78,24.0,19.0
79,21.0,22.0
80,13.0,34.0
81,15.0,35.0
82,14.0,22.0
83,21.0,34.0
84,10.0,24.0
85,12.0,26.0
86,17.0,26.0
87,14.0,28.0
88,20.0,24.0
89,18.0,29.0
90,24.0,32.0
91,18.0,35.0
92,19.0,24.0
93,16.0,25.0
94,29.0,34.0
95,15.0,28.0
96,9.0,30.0
