,emojitracker-twitter-smiling_cat_face_with_open_mouth,emojitracker-twitter-crying_cat_face,emojitracker-twitter-cat_face_with_wry_smile,emojitracker-twitter-cat_face_with_tears_of_joy,emojitracker-twitter-cat_face,emojitracker-twitter-kissing_cat_face_with_closed_eyes,emojitracker-twitter-grinning_cat_face_with_smiling_eyes,emojitracker-twitter-pouting_cat_face,emojitracker-twitter-smiling_cat_face_with_heart-shaped_eyes
0,1.0,8.0,10.0,18.0,12.0,6.0,2.0,2.0,6.0
1,4.0,9.0,8.0,12.0,16.0,3.0,4.0,5.0,14.0
2,3.0,10.0,11.0,18.0,11.0,7.0,1.0,3.0,18.0
3,2.0,5.0,11.0,16.0,13.0,6.0,5.0,8.0,16.0
4,1.0,8.0,8.0,9.0,15.0,9.0,7.0,6.0,12.0
5,3.0,10.0,6.0,9.0,12.0,4.0,3.0,3.0,12.0
6,2.0,14.0,5.0,17.0,9.0,5.0,4.0,6.0,11.0
7,3.0,13.0,5.0,11.0,6.0,7.0,2.0,3.0,13.0
8,2.0,7.0,7.0,11.0,6.0,8.0,3.0,9.0,16.0
9,4.0,7.0,5.0,13.0,12.0,6.0,8.0,4.0,8.0
10,1.0,16.0,5.0,13.0,5.0,10.0,6.0,4.0,19.0
11,2.0,8.0,7.0,15.0,9.0,4.0,5.0,5.0,18.0
12,2.0,11.0,9.0,8.0,13.0,4.0,1.0,3.0,13.0
13,4.0,9.0,16.0,10.0,11.0,5.0,5.0,7.0,21.0
14,7.0,4.0,11.0,10.0,4.0,3.0,4.0,5.0,11.0
15,5.0,5.0,9.0,23.0,12.0,9.0,6.0,7.0,30.0
16,2.0,9.0,6.0,12.0,10.0,6.0,5.0,2.0,13.0
17,1.0,10.0,9.0,17.0,9.0,2.0,3.0,5.0,12.0
18,3.0,8.0,9.0,15.0,4.0,4.0,5.0,14.0,11.0
19,2.0,5.0,8.0,12.0,7.0,2.0,4.0,3.0,11.0
20,5.0,7.0,8.0,16.0,8.0,4.0,2.0,7.0,10.0
21,5.0,6.0,6.0,13.0,5.0,5.0,3.0,6.0,13.0
22,3.0,6.0,8.0,11.0,10.0,4.0,4.0,4.0,12.0
23,2.0,11.0,11.0,18.0,7.0,9.0,3.0,6.0,5.0
24,2.0,8.0,8.0,20.0,9.0,3.0,3.0,8.0,19.0
25,1.0,10.0,11.0,13.0,6.0,4.0,2.0,3.0,13.0
26,3.0,5.0,11.0,12.0,8.0,8.0,2.0,7.0,10.0
27,1.0,4.0,5.0,13.0,8.0,4.0,4.0,5.0,12.0
28,4.0,5.0,8.0,4.0,13.0,4.0,7.0,2.0,15.0
29,3.0,11.0,6.0,12.0,5.0,7.0,7.0,6.0,10.0
30,3.0,7.0,12.0,11.0,9.0,4.0,7.0,6.0,14.0
31,4.0,5.0,13.0,15.0,3.0,6.0,8.0,7.0,12.0
32,1.0,3.0,7.0,13.0,10.0,3.0,11.0,4.0,14.0
33,2.0,8.0,7.0,8.0,2.0,4.0,6.0,6.0,13.0
34,5.0,4.0,4.0,13.0,8.0,3.0,9.0,6.0,13.0
35,4.0,13.0,10.0,8.0,9.0,6.0,4.0,2.0,11.0
36,3.0,10.0,6.0,10.0,6.0,5.0,4.0,10.0,12.0
37,3.0,6.0,12.0,17.0,8.0,7.0,5.0,4.0,17.0
38,5.0,6.0,9.0,16.0,7.0,5.0,2.0,5.0,7.0
39,4.0,7.0,12.0,6.0,4.0,11.0,0.0,11.0,13.0
40,2.0,10.0,9.0,8.0,12.0,6.0,3.0,2.0,14.0
41,1.0,9.0,4.0,13.0,6.0,8.0,5.0,4.0,6.0
