,emojitracker-twitter-kissing_face_with_closed_eyes,emojitracker-twitter-kissing_face_with_smiling_eyes
0,15.0,8.0
1,19.0,7.0
2,16.0,2.0
3,16.0,8.0
4,11.0,8.0
5,12.0,4.0
6,12.0,8.0
7,18.0,5.0
8,10.0,10.0
9,16.0,10.0
10,14.0,8.0
11,17.0,9.0
12,18.0,10.0
13,19.0,19.0
14,14.0,5.0
15,9.0,7.0
16,11.0,9.0
17,22.0,5.0
18,7.0,6.0
19,12.0,2.0
20,9.0,7.0
21,12.0,8.0
22,17.0,7.0
23,11.0,5.0
24,18.0,4.0
25,19.0,12.0
26,15.0,7.0
27,11.0,5.0
28,19.0,3.0
29,11.0,6.0
30,12.0,5.0
31,11.0,8.0
32,20.0,7.0
33,15.0,3.0
34,19.0,6.0
35,9.0,2.0
36,14.0,3.0
37,8.0,6.0
38,17.0,7.0
39,10.0,9.0
40,17.0,3.0
41,23.0,5.0
42,14.0,4.0
43,9.0,3.0
44,15.0,8.0
45,14.0,7.0
46,9.0,7.0
47,15.0,8.0
48,19.0,3.0
49,17.0,6.0
50,12.0,7.0
51,14.0,5.0
52,20.0,7.0
53,19.0,8.0
54,13.0,9.0
55,15.0,4.0
56,9.0,6.0
57,16.0,9.0
58,17.0,11.0
59,17.0,3.0
60,14.0,5.0
61,18.0,8.0
62,16.0,10.0
63,15.0,7.0
64,17.0,11.0
65,14.0,11.0
66,16.0,9.0
67,10.0,9.0
68,14.0,11.0
69,17.0,8.0
70,14.0,10.0
71,21.0,5.0
72,11.0,8.0
73,19.0,8.0
74,15.0,12.0
75,19.0,4.0
76,13.0,7.0
77,16.0,5.0
78,18.0,5.0
79,16.0,6.0
80,11.0,4.0
81,21.0,3.0
82,15.0,8.0
83,19.0,5.0
84,24.0,0.0
85,28.0,12.0
86,20.0,8.0
87,10.0,4.0
88,12.0,6.0
89,21.0,6.0
90,20.0,13.0
91,14.0,12.0
92,24.0,1.0
93,16.0,12.0
94,15.0,8.0
95,17.0,8.0
96,21.0,8.0
97,29.0,5.0
98,15.0,13.0
99,16.0,6.0
100,22.0,4.0
101,17.0,6.0
102,18.0,4.0
103,10.0,14.0
104,19.0,10.0
105,18.0,3.0
106,26.0,13.0
107,20.0,8.0
108,25.0,12.0
109,13.0,10.0
110,19.0,7.0
111,13.0,11.0
112,16.0,9.0
113,24.0,8.0
114,16.0,12.0
115,21.0,13.0
116,16.0,12.0
117,26.0,10.0
118,30.0,9.0
119,30.0,6.0
120,15.0,5.0
121,17.0,6.0
122,23.0,10.0
123,18.0,10.0
124,16.0,7.0
125,21.0,10.0
126,10.0,2.0
127,0.0,0.0
128,4.0,1.0
129,12.0,6.0
130,16.0,9.0
131,20.0,7.0
132,12.0,8.0
133,13.0,9.0
134,27.0,6.0
135,16.0,7.0
136,17.0,5.0
137,13.0,5.0
138,23.0,7.0
139,14.0,3.0
140,15.0,9.0
141,9.0,7.0
142,11.0,12.0
143,26.0,6.0
144,24.0,11.0
145,18.0,14.0
146,27.0,6.0
147,14.0,4.0
148,22.0,6.0
149,12.0,3.0
150,13.0,5.0
151,23.0,8.0
152,16.0,9.0
153,25.0,9.0
154,13.0,10.0
155,24.0,11.0
156,15.0,10.0
157,19.0,7.0
158,18.0,3.0
159,22.0,10.0
160,16.0,8.0
161,26.0,4.0
162,22.0,9.0
163,15.0,7.0
164,20.0,5.0
165,32.0,13.0
166,22.0,6.0
167,21.0,8.0
168,19.0,9.0
169,15.0,10.0
170,21.0,7.0
171,22.0,7.0
172,21.0,11.0
