,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes
0,138.0,31.0,191.0,38.0
1,115.0,29.0,196.0,51.0
2,115.0,45.0,177.0,54.0
3,127.0,42.0,161.0,66.0
4,132.0,43.0,211.0,65.0
5,143.0,29.0,209.0,58.0
6,132.0,32.0,178.0,49.0
7,139.0,32.0,176.0,64.0
8,114.0,38.0,166.0,55.0
9,132.0,40.0,168.0,45.0
10,102.0,39.0,190.0,43.0
11,166.0,37.0,190.0,51.0
12,131.0,33.0,176.0,52.0
13,123.0,29.0,202.0,47.0
14,158.0,26.0,180.0,52.0
15,123.0,43.0,169.0,58.0
16,107.0,42.0,182.0,56.0
17,131.0,43.0,197.0,55.0
18,124.0,36.0,176.0,53.0
19,135.0,35.0,202.0,65.0
20,109.0,40.0,190.0,49.0
21,130.0,43.0,177.0,55.0
22,134.0,44.0,183.0,59.0
23,130.0,42.0,195.0,45.0
24,148.0,29.0,206.0,57.0
25,169.0,41.0,209.0,59.0
26,151.0,43.0,180.0,51.0
27,129.0,48.0,180.0,49.0
28,122.0,40.0,188.0,43.0
29,126.0,48.0,186.0,58.0
30,139.0,30.0,202.0,43.0
31,142.0,32.0,189.0,63.0
32,126.0,34.0,165.0,54.0
33,120.0,38.0,179.0,63.0
34,101.0,41.0,190.0,46.0
35,141.0,41.0,179.0,44.0
36,111.0,44.0,187.0,63.0
37,133.0,34.0,191.0,59.0
38,104.0,32.0,167.0,53.0
39,137.0,40.0,210.0,62.0
40,153.0,48.0,202.0,58.0
41,123.0,38.0,196.0,62.0
42,134.0,34.0,172.0,52.0
43,127.0,40.0,183.0,57.0
44,129.0,38.0,216.0,63.0
45,116.0,41.0,162.0,47.0
46,115.0,34.0,199.0,59.0
47,117.0,30.0,215.0,48.0
48,123.0,33.0,205.0,52.0
49,152.0,29.0,185.0,58.0
