,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes
0,51.0,170.0,42.0,252.0
1,49.0,158.0,42.0,241.0
2,44.0,134.0,39.0,210.0
3,63.0,120.0,34.0,199.0
4,60.0,123.0,33.0,215.0
5,72.0,144.0,40.0,231.0
6,57.0,129.0,48.0,194.0
7,57.0,144.0,35.0,199.0
8,63.0,118.0,38.0,178.0
9,48.0,123.0,34.0,205.0
10,51.0,156.0,42.0,202.0
11,59.0,138.0,31.0,186.0
12,62.0,124.0,30.0,163.0
13,49.0,125.0,41.0,189.0
14,55.0,120.0,31.0,184.0
15,39.0,138.0,38.0,172.0
16,46.0,138.0,36.0,168.0
17,52.0,124.0,29.0,152.0
18,59.0,141.0,35.0,181.0
19,59.0,119.0,33.0,176.0
20,69.0,102.0,32.0,182.0
21,60.0,131.0,37.0,191.0
22,49.0,139.0,37.0,172.0
23,46.0,160.0,41.0,196.0
24,54.0,138.0,35.0,166.0
25,52.0,148.0,42.0,185.0
26,54.0,156.0,33.0,178.0
27,53.0,144.0,22.0,175.0
28,38.0,142.0,26.0,176.0
29,42.0,132.0,38.0,166.0
30,55.0,133.0,32.0,192.0
31,40.0,134.0,30.0,200.0
32,41.0,133.0,39.0,174.0
33,48.0,118.0,31.0,168.0
34,48.0,115.0,28.0,198.0
35,47.0,134.0,29.0,163.0
36,56.0,136.0,39.0,188.0
37,52.0,121.0,37.0,170.0
38,57.0,117.0,43.0,160.0
39,61.0,114.0,31.0,203.0
40,50.0,122.0,24.0,198.0
41,58.0,132.0,49.0,171.0
42,47.0,132.0,38.0,185.0
43,54.0,139.0,39.0,188.0
44,54.0,129.0,41.0,188.0
45,52.0,115.0,26.0,204.0
46,49.0,131.0,29.0,201.0
47,58.0,137.0,28.0,165.0
48,69.0,143.0,31.0,195.0
49,50.0,137.0,35.0,192.0
