,helicopter_theta,helicopter_psi
0,-0.20834,1.6358
1,-0.21118,1.6431
2,-0.21886999999999998,1.6528
3,-0.21481999999999998,1.6463
4,-0.21523,1.6463
5,-0.20995999999999998,1.6382
6,-0.2132,1.6447
7,-0.21563000000000002,1.6544
8,-0.2047,1.6318
9,-0.20834,1.6366
10,-0.21563000000000002,1.6472
11,-0.21158000000000002,1.6423
12,-0.21644000000000002,1.6488
13,-0.21239,1.6423
14,-0.20631999999999998,1.6318
15,-0.20592,1.6302
16,-0.20673000000000002,1.6342
17,-0.21118,1.6431
18,-0.21076999999999999,1.6399
19,-0.20794,1.635
20,-0.21036999999999997,1.6391
21,-0.20631999999999998,1.631
22,-0.2047,1.631
23,-0.21523,1.6480000000000001
24,-0.21523,1.6480000000000001
25,-0.21441999999999997,1.6358
26,-0.22008000000000003,1.6496
27,-0.2128,1.631
28,-0.21523,1.6382
29,-0.22373,1.6593
30,-0.21361,1.6342
31,-0.22494,1.6528
32,-0.21725,1.6431
33,-0.21441999999999997,1.6366
34,-0.21604,1.6391
35,-0.21361,1.6342
36,-0.21644000000000002,1.6415
37,-0.21685,1.6431
38,-0.22089,1.6528
39,-0.21644000000000002,1.6399
40,-0.22211,1.6488
41,-0.22049000000000002,1.6512
42,-0.22049000000000002,1.6512
43,-0.21725,1.6439
44,-0.22049000000000002,1.6512
45,-0.22373,1.6512
46,-0.21725,1.6407
47,-0.21846,1.6463
48,-0.21481999999999998,1.6374
49,-0.22535,1.6536
50,-0.22089,1.6528
51,-0.22291999999999998,1.6577
52,-0.21361,1.635
53,-0.21685,1.6407
54,-0.21158000000000002,1.6285
55,-0.22089,1.6463
56,-0.22332,1.6593
57,-0.22332,1.6593
58,-0.21441999999999997,1.6342
59,-0.21118,1.631
60,-0.21118,1.631
61,-0.22089,1.6536
62,-0.22291999999999998,1.6585
63,-0.21361,1.635
64,-0.21158000000000002,1.6285
65,-0.21563000000000002,1.6391
66,-0.21968000000000001,1.6504
67,-0.22291999999999998,1.6569
68,-0.22008000000000003,1.6455
69,-0.22089,1.6528
70,-0.22049000000000002,1.6472
71,-0.21523,1.6382
72,-0.21199,1.631
73,-0.2132,1.6326
74,-0.22291999999999998,1.6577
75,-0.2132,1.6326
76,-0.22089,1.652
77,-0.21239,1.6318
78,-0.21400999999999998,1.635
79,-0.22089,1.652
80,-0.21765,1.6439
81,-0.21481999999999998,1.6358
82,-0.22211,1.6488
83,-0.21886999999999998,1.6601
84,-0.21886999999999998,1.6536
85,-0.20631999999999998,1.631
86,-0.21481999999999998,1.6463
87,-0.21481999999999998,1.6463
88,-0.21361,1.6447
89,-0.20673000000000002,1.6318
90,-0.21400999999999998,1.6455
91,-0.20753000000000002,1.6334
92,-0.21886999999999998,1.6585
93,-0.21765,1.652
94,-0.21239,1.6463
95,-0.2128,1.6431
96,-0.21481999999999998,1.6536
97,-0.21563000000000002,1.6472
98,-0.20713,1.6326
99,-0.21481999999999998,1.6463
100,-0.21400999999999998,1.6463
101,-0.21765,1.6593
102,-0.20956,1.6399
103,-0.21481999999999998,1.652
104,-0.21765,1.6504
105,-0.21765,1.6504
106,-0.20995999999999998,1.6382
107,-0.20875,1.6374
108,-0.21806,1.6593
109,-0.2128,1.6431
110,-0.20592,1.631
111,-0.21158000000000002,1.6447
112,-0.20551,1.6326
113,-0.21076999999999999,1.6423
114,-0.20631999999999998,1.6326
115,-0.20592,1.6293
116,-0.21725,1.6512
117,-0.20834,1.6366
118,-0.21400999999999998,1.6504
119,-0.20834,1.6366
120,-0.21806,1.6601
121,-0.20794,1.6342
122,-0.21806,1.6593
123,-0.21806,1.6593
124,-0.20551,1.6293
125,-0.20511,1.6302
126,-0.20673000000000002,1.6334
127,-0.20713,1.6326
128,-0.20956,1.6399
129,-0.21199,1.6439
130,-0.20794,1.6342
131,-0.20592,1.6302
132,-0.21927,1.6561
133,-0.2132,1.6480000000000001
134,-0.20956,1.6374
135,-0.20713,1.6342
136,-0.20551,1.6318
137,-0.20753000000000002,1.6334
138,-0.20875,1.6358
139,-0.21846,1.6577
140,-0.20551,1.6293
141,-0.20511,1.6318
142,-0.21118,1.6399
143,-0.20956,1.6407
144,-0.21400999999999998,1.6512
145,-0.20834,1.6366
146,-0.20713,1.6342
147,-0.21968000000000001,1.6552
148,-0.21806,1.652
149,-0.21400999999999998,1.6512
150,-0.21400999999999998,1.6512
151,-0.20713,1.6334
152,-0.21400999999999998,1.6447
153,-0.21765,1.6609
154,-0.21118,1.6439
155,-0.21685,1.6577
156,-0.21361,1.6496
157,-0.21846,1.6577
158,-0.21604,1.6544
159,-0.21523,1.6544
160,-0.21523,1.6480000000000001
161,-0.21765,1.6609
162,-0.20511,1.6293
163,-0.20753000000000002,1.6342
164,-0.21239,1.6488
165,-0.21765,1.6601
166,-0.21765,1.6585
167,-0.20673000000000002,1.631
168,-0.20673000000000002,1.631
169,-0.22535,1.6552
170,-0.22250999999999999,1.6496
171,-0.21604,1.6391
172,-0.21361,1.635
173,-0.21846,1.6463
174,-0.21644000000000002,1.6407
175,-0.21644000000000002,1.6399
176,-0.21361,1.635
177,-0.21199,1.6326
178,-0.21846,1.6463
179,-0.21765,1.6415
180,-0.21644000000000002,1.6407
181,-0.21481999999999998,1.6358
182,-0.21361,1.6334
183,-0.21806,1.6447
184,-0.21481999999999998,1.6374
185,-0.21118,1.6302
186,-0.21118,1.6302
187,-0.22373,1.6601
188,-0.22008000000000003,1.6463
189,-0.2128,1.631
190,-0.21604,1.6391
191,-0.21118,1.6293
192,-0.21400999999999998,1.6358
193,-0.21523,1.6382
194,-0.22250999999999999,1.6569
195,-0.21644000000000002,1.6399
196,-0.21685,1.6407
197,-0.22454000000000002,1.652
198,-0.22250999999999999,1.6488
199,-0.22413000000000002,1.652
200,-0.21806,1.6415
201,-0.22049000000000002,1.6455
202,-0.21118,1.631
203,-0.22373,1.6528
204,-0.21199,1.6302
205,-0.21765,1.6431
206,-0.21644000000000002,1.6415
207,-0.21846,1.6463
208,-0.21968000000000001,1.6488
209,-0.21239,1.6318
210,-0.21361,1.6334
211,-0.22373,1.6585
212,-0.21523,1.6391
213,-0.21523,1.6391
214,-0.21725,1.6439
215,-0.21481999999999998,1.6366
216,-0.22373,1.6601
217,-0.22575,1.6561
218,-0.2213,1.6472
219,-0.21644000000000002,1.6382
220,-0.21523,1.6391
221,-0.2217,1.6480000000000001
222,-0.21481999999999998,1.6366
223,-0.21685,1.6407
224,-0.22049000000000002,1.6455
225,-0.22373,1.6601
226,-0.22008000000000003,1.6496
227,-0.22008000000000003,1.6504
228,-0.22373,1.652
229,-0.2132,1.6326
230,-0.21118,1.6302
231,-0.21118,1.6302
232,-0.21523,1.6374
233,-0.21886999999999998,1.6463
234,-0.21118,1.631
235,-0.21968000000000001,1.6512
236,-0.21361,1.6334
237,-0.21886999999999998,1.6472
238,-0.22373,1.6609
239,-0.21441999999999997,1.6358
240,-0.22413000000000002,1.652
241,-0.21441999999999997,1.6358
242,-0.2128,1.6342
243,-0.22291999999999998,1.6496
244,-0.2128,1.6334
245,-0.22089,1.652
246,-0.22454000000000002,1.6561
247,-0.22575,1.6544
248,-0.21604,1.6399
249,-0.21604,1.6399
250,-0.22454000000000002,1.6585
251,-0.21968000000000001,1.6496
252,-0.21604,1.6415
253,-0.21441999999999997,1.6358
254,-0.21886999999999998,1.6480000000000001
255,-0.21806,1.6447
256,-0.21806,1.6415
257,-0.22211,1.6552
258,-0.2213,1.6536
259,-0.21361,1.6342
260,-0.21523,1.6374
261,-0.21725,1.6423
262,-0.21118,1.6382
263,-0.20631999999999998,1.6334
264,-0.20995999999999998,1.6399
265,-0.21604,1.6496
266,-0.21765,1.6512
267,-0.21563000000000002,1.6552
268,-0.21765,1.6601
269,-0.20956,1.6382
