,hospital-er-wait-minutes-columbus_midtown_peds,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside
0,4.0,125.0,10.0
1,4.0,128.0,17.0
2,4.0,128.0,17.0
3,3.0,130.0,30.0
4,3.0,130.0,30.0
5,1.0,157.0,39.0
6,1.0,157.0,39.0
7,4.0,128.0,54.0
8,4.0,128.0,54.0
9,4.0,161.0,62.0
10,4.0,161.0,62.0
11,0.0,237.0,60.0
12,0.0,237.0,60.0
13,0.0,256.0,65.0
14,0.0,256.0,65.0
15,0.0,323.0,89.0
16,0.0,323.0,89.0
17,8.0,311.0,90.0
18,8.0,311.0,90.0
19,5.0,291.0,77.0
20,5.0,291.0,77.0
21,19.0,271.0,72.0
22,19.0,271.0,72.0
23,17.0,310.0,64.0
24,17.0,310.0,64.0
25,6.0,322.0,50.0
26,6.0,322.0,50.0
27,6.0,283.0,58.0
28,6.0,283.0,58.0
29,6.0,304.0,75.0
30,6.0,304.0,75.0
31,8.0,325.0,84.0
32,8.0,325.0,84.0
33,13.0,370.0,112.0
34,13.0,370.0,112.0
35,12.0,316.0,118.0
36,12.0,316.0,118.0
37,5.0,260.0,120.0
38,5.0,260.0,120.0
39,9.0,300.0,116.0
40,9.0,300.0,116.0
41,15.0,282.0,128.0
42,15.0,282.0,128.0
43,23.0,310.0,130.0
44,23.0,310.0,130.0
45,19.0,322.0,111.0
46,19.0,322.0,111.0
47,7.0,298.0,60.0
48,7.0,298.0,60.0
49,14.0,351.0,36.0
50,14.0,351.0,36.0
51,13.0,333.0,46.0
52,13.0,333.0,46.0
53,11.0,325.0,55.0
54,11.0,325.0,55.0
55,11.0,374.0,88.0
56,11.0,374.0,88.0
57,21.0,515.0,62.0
58,21.0,515.0,62.0
59,16.0,401.0,35.0
60,16.0,401.0,35.0
61,11.0,350.0,35.0
62,11.0,350.0,35.0
63,6.0,337.0,0.0
64,6.0,337.0,0.0
65,0.0,276.0,0.0
66,0.0,276.0,0.0
67,0.0,315.0,9.0
68,0.0,315.0,9.0
69,0.0,183.0,9.0
70,0.0,183.0,9.0
71,10.0,183.0,14.0
72,10.0,183.0,14.0
73,10.0,41.0,20.0
74,10.0,41.0,20.0
75,9.0,57.0,20.0
76,9.0,57.0,20.0
77,0.0,112.0,9.0
78,0.0,112.0,9.0
79,16.0,71.0,21.0
80,16.0,71.0,21.0
81,16.0,65.0,32.0
82,16.0,65.0,32.0
83,13.0,65.0,0.0
84,13.0,65.0,0.0
85,14.0,50.0,7.0
86,14.0,50.0,7.0
87,15.0,43.0,14.0
88,15.0,43.0,14.0
89,4.0,25.0,12.0
90,4.0,25.0,12.0
91,7.0,22.0,11.0
92,7.0,22.0,11.0
93,9.0,21.0,17.0
94,9.0,21.0,17.0
95,11.0,27.0,16.0
96,11.0,27.0,16.0
97,2.0,35.0,5.0
98,2.0,35.0,5.0
99,7.0,40.0,3.0
100,7.0,40.0,3.0
101,12.0,46.0,6.0
102,12.0,46.0,6.0
103,12.0,61.0,12.0
104,12.0,61.0,12.0
105,18.0,81.0,25.0
106,18.0,81.0,25.0
107,18.0,78.0,35.0
108,18.0,78.0,35.0
109,19.0,67.0,28.0
110,19.0,67.0,28.0
111,13.0,70.0,13.0
112,13.0,70.0,13.0
113,12.0,88.0,12.0
114,12.0,88.0,12.0
115,15.0,102.0,8.0
116,15.0,102.0,8.0
117,14.0,162.0,13.0
118,14.0,162.0,13.0
119,15.0,144.0,18.0
120,15.0,144.0,18.0
121,20.0,97.0,12.0
122,20.0,97.0,12.0
123,21.0,96.0,10.0
124,21.0,96.0,10.0
125,23.0,95.0,13.0
126,23.0,95.0,13.0
127,17.0,97.0,10.0
128,17.0,97.0,10.0
129,11.0,133.0,9.0
130,11.0,133.0,9.0
131,14.0,115.0,11.0
132,14.0,115.0,11.0
133,21.0,105.0,38.0
134,21.0,105.0,38.0
135,15.0,120.0,19.0
136,15.0,120.0,19.0
137,13.0,174.0,7.0
138,13.0,174.0,7.0
139,16.0,147.0,13.0
140,16.0,147.0,13.0
141,21.0,158.0,10.0
142,21.0,158.0,10.0
143,20.0,180.0,5.0
144,20.0,180.0,5.0
145,10.0,249.0,5.0
146,10.0,249.0,5.0
147,1.0,278.0,26.0
148,1.0,278.0,26.0
149,1.0,215.0,46.0
150,1.0,215.0,46.0
151,2.0,220.0,61.0
152,2.0,220.0,61.0
153,2.0,178.0,104.0
154,2.0,178.0,104.0
155,0.0,196.0,104.0
156,0.0,196.0,104.0
157,27.0,227.0,0.0
158,27.0,227.0,0.0
159,0.0,200.0,0.0
160,0.0,200.0,0.0
161,0.0,192.0,0.0
162,0.0,192.0,0.0
163,0.0,223.0,1.0
164,0.0,223.0,1.0
165,0.0,171.0,1.0
166,0.0,171.0,1.0
167,0.0,190.0,0.0
168,0.0,190.0,0.0
169,0.0,245.0,0.0
170,0.0,245.0,0.0
171,6.0,184.0,0.0
172,6.0,184.0,0.0
173,6.0,214.0,0.0
174,6.0,214.0,0.0
175,0.0,216.0,0.0
176,0.0,216.0,0.0
177,0.0,452.0,0.0
178,0.0,452.0,0.0
179,8.0,276.0,0.0
180,8.0,276.0,0.0
181,10.0,114.0,1.0
182,10.0,114.0,1.0
183,21.0,95.0,1.0
184,21.0,95.0,1.0
185,35.0,170.0,5.0
186,35.0,170.0,5.0
187,53.0,165.0,10.0
188,53.0,165.0,10.0
189,74.0,138.0,19.0
190,74.0,138.0,19.0
191,78.0,156.0,38.0
192,78.0,156.0,38.0
193,68.0,179.0,36.0
194,68.0,179.0,36.0
195,52.0,139.0,45.0
196,52.0,139.0,45.0
197,61.0,130.0,48.0
198,61.0,130.0,48.0
199,4.0,133.0,61.0
200,4.0,133.0,61.0
201,7.0,93.0,67.0
202,7.0,93.0,67.0
203,8.0,98.0,73.0
204,8.0,98.0,73.0
205,13.0,108.0,58.0
206,13.0,108.0,58.0
207,15.0,145.0,58.0
208,15.0,145.0,58.0
209,14.0,180.0,70.0
210,14.0,180.0,70.0
211,13.0,167.0,53.0
212,13.0,167.0,53.0
213,13.0,178.0,43.0
214,13.0,178.0,43.0
215,19.0,204.0,25.0
216,19.0,204.0,25.0
217,30.0,218.0,18.0
218,30.0,218.0,18.0
219,55.0,204.0,15.0
220,55.0,204.0,15.0
221,76.0,243.0,6.0
222,76.0,243.0,6.0
223,51.0,218.0,8.0
224,51.0,218.0,8.0
225,34.0,233.0,7.0
226,34.0,233.0,7.0
227,11.0,234.0,4.0
228,11.0,234.0,4.0
229,13.0,155.0,6.0
230,13.0,155.0,6.0
231,12.0,135.0,5.0
232,12.0,135.0,5.0
233,10.0,151.0,4.0
234,10.0,151.0,4.0
235,8.0,171.0,4.0
236,8.0,171.0,4.0
237,8.0,200.0,3.0
238,8.0,200.0,3.0
