,hospital-er-wait-minutes-columbus_midtown_peds,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown
0,5.0,2.0,200.0
1,5.0,2.0,200.0
2,2.0,5.0,121.0
3,2.0,5.0,121.0
4,5.0,8.0,117.0
5,5.0,8.0,117.0
6,5.0,8.0,168.0
7,5.0,8.0,168.0
8,10.0,2.0,180.0
9,10.0,2.0,180.0
10,11.0,3.0,240.0
11,11.0,3.0,240.0
12,8.0,12.0,246.0
13,8.0,12.0,246.0
14,11.0,26.0,233.0
15,11.0,26.0,233.0
16,10.0,11.0,234.0
17,10.0,11.0,234.0
18,6.0,5.0,224.0
19,6.0,5.0,224.0
20,7.0,8.0,194.0
21,7.0,8.0,194.0
22,9.0,10.0,204.0
23,9.0,10.0,204.0
24,12.0,2.0,238.0
25,12.0,2.0,238.0
26,0.0,2.0,247.0
27,0.0,2.0,247.0
28,13.0,6.0,240.0
29,13.0,6.0,240.0
30,13.0,11.0,303.0
31,13.0,11.0,303.0
32,11.0,8.0,279.0
33,11.0,8.0,279.0
34,17.0,8.0,269.0
35,17.0,8.0,269.0
36,17.0,6.0,68.0
37,17.0,6.0,68.0
38,10.0,6.0,55.0
39,10.0,6.0,55.0
40,5.0,1.0,95.0
41,5.0,1.0,95.0
42,6.0,5.0,89.0
43,6.0,5.0,89.0
44,11.0,7.0,86.0
45,11.0,7.0,86.0
46,12.0,7.0,81.0
47,12.0,7.0,81.0
48,9.0,3.0,76.0
49,9.0,3.0,76.0
50,6.0,5.0,68.0
51,6.0,5.0,68.0
52,13.0,5.0,67.0
53,13.0,5.0,67.0
54,12.0,1.0,61.0
55,12.0,1.0,61.0
56,10.0,1.0,64.0
57,10.0,1.0,64.0
58,10.0,1.0,66.0
59,10.0,1.0,66.0
60,0.0,4.0,75.0
61,0.0,4.0,75.0
62,0.0,4.0,91.0
63,0.0,4.0,91.0
64,0.0,0.0,101.0
65,0.0,0.0,101.0
66,0.0,0.0,60.0
67,0.0,0.0,60.0
68,0.0,0.0,40.0
69,0.0,0.0,40.0
70,0.0,0.0,25.0
71,0.0,0.0,25.0
72,1.0,0.0,22.0
73,1.0,0.0,22.0
74,1.0,7.0,6.0
75,1.0,7.0,6.0
76,0.0,8.0,6.0
77,0.0,8.0,6.0
78,0.0,8.0,28.0
79,0.0,8.0,28.0
80,0.0,0.0,35.0
81,0.0,0.0,35.0
82,0.0,0.0,45.0
83,0.0,0.0,45.0
84,0.0,5.0,61.0
85,0.0,5.0,61.0
86,0.0,3.0,85.0
87,0.0,3.0,85.0
88,0.0,6.0,13.0
89,0.0,6.0,13.0
90,14.0,11.0,10.0
91,14.0,11.0,10.0
92,10.0,8.0,9.0
93,10.0,8.0,9.0
94,7.0,4.0,14.0
95,7.0,4.0,14.0
96,10.0,9.0,15.0
97,10.0,9.0,15.0
98,15.0,14.0,16.0
99,15.0,14.0,16.0
100,9.0,17.0,15.0
101,9.0,17.0,15.0
102,8.0,23.0,19.0
103,8.0,23.0,19.0
104,10.0,5.0,36.0
105,10.0,5.0,36.0
106,7.0,6.0,51.0
107,7.0,6.0,51.0
108,7.0,9.0,89.0
109,7.0,9.0,89.0
110,4.0,10.0,104.0
111,4.0,10.0,104.0
112,3.0,5.0,72.0
113,3.0,5.0,72.0
114,5.0,6.0,77.0
115,5.0,6.0,77.0
116,6.0,8.0,103.0
117,6.0,8.0,103.0
118,0.0,12.0,123.0
119,0.0,12.0,123.0
120,3.0,9.0,139.0
121,3.0,9.0,139.0
122,3.0,8.0,138.0
123,3.0,8.0,138.0
124,0.0,6.0,122.0
125,0.0,6.0,122.0
126,1.0,8.0,143.0
127,1.0,8.0,143.0
128,4.0,16.0,152.0
129,4.0,16.0,152.0
130,9.0,20.0,174.0
131,9.0,20.0,174.0
132,14.0,18.0,211.0
133,14.0,18.0,211.0
134,17.0,5.0,172.0
135,17.0,5.0,172.0
136,3.0,5.0,191.0
137,3.0,5.0,191.0
138,4.0,6.0,147.0
139,4.0,6.0,147.0
140,7.0,11.0,119.0
141,7.0,11.0,119.0
142,6.0,11.0,140.0
143,6.0,11.0,140.0
144,5.0,5.0,126.0
145,5.0,5.0,126.0
146,6.0,4.0,116.0
147,6.0,4.0,116.0
148,6.0,8.0,63.0
149,6.0,8.0,63.0
150,9.0,11.0,25.0
151,9.0,11.0,25.0
152,9.0,11.0,30.0
153,9.0,11.0,30.0
154,8.0,10.0,37.0
155,8.0,10.0,37.0
156,15.0,0.0,41.0
157,15.0,0.0,41.0
158,15.0,0.0,27.0
159,15.0,0.0,27.0
160,10.0,0.0,33.0
161,10.0,0.0,33.0
162,10.0,0.0,34.0
163,10.0,0.0,34.0
164,9.0,0.0,34.0
165,9.0,0.0,34.0
166,0.0,0.0,32.0
167,0.0,0.0,32.0
168,0.0,0.0,36.0
169,0.0,0.0,36.0
170,8.0,0.0,81.0
171,8.0,0.0,81.0
172,16.0,14.0,38.0
173,16.0,14.0,38.0
174,16.0,14.0,34.0
175,16.0,14.0,34.0
176,0.0,13.0,26.0
177,0.0,13.0,26.0
178,17.0,9.0,32.0
179,17.0,9.0,32.0
180,17.0,10.0,35.0
181,17.0,10.0,35.0
182,0.0,12.0,28.0
183,0.0,12.0,28.0
184,0.0,16.0,14.0
185,0.0,16.0,14.0
186,5.0,26.0,14.0
187,5.0,26.0,14.0
188,9.0,21.0,13.0
189,9.0,21.0,13.0
190,10.0,19.0,13.0
191,10.0,19.0,13.0
192,9.0,30.0,16.0
193,9.0,30.0,16.0
194,6.0,36.0,26.0
195,6.0,36.0,26.0
196,9.0,25.0,53.0
197,9.0,25.0,53.0
198,8.0,10.0,49.0
199,8.0,10.0,49.0
200,7.0,9.0,49.0
201,7.0,9.0,49.0
202,6.0,6.0,52.0
203,6.0,6.0,52.0
204,3.0,8.0,56.0
205,3.0,8.0,56.0
206,3.0,11.0,77.0
207,3.0,11.0,77.0
208,5.0,9.0,80.0
209,5.0,9.0,80.0
210,4.0,12.0,93.0
211,4.0,12.0,93.0
212,2.0,10.0,116.0
213,2.0,10.0,116.0
214,0.0,3.0,124.0
215,0.0,3.0,124.0
216,6.0,5.0,133.0
217,6.0,5.0,133.0
218,8.0,10.0,146.0
219,8.0,10.0,146.0
220,8.0,11.0,173.0
221,8.0,11.0,173.0
222,8.0,11.0,207.0
223,8.0,11.0,207.0
224,7.0,17.0,158.0
225,7.0,17.0,158.0
226,24.0,33.0,128.0
227,24.0,33.0,128.0
228,12.0,56.0,139.0
229,12.0,56.0,139.0
230,10.0,62.0,113.0
231,10.0,62.0,113.0
232,7.0,51.0,110.0
233,7.0,51.0,110.0
234,5.0,29.0,101.0
235,5.0,29.0,101.0
236,4.0,32.0,118.0
237,4.0,32.0,118.0
238,6.0,27.0,137.0
239,6.0,27.0,137.0
240,4.0,37.0,202.0
241,4.0,37.0,202.0
242,4.0,42.0,150.0
243,4.0,42.0,150.0
244,5.0,38.0,112.0
245,5.0,38.0,112.0
246,5.0,3.0,65.0
247,5.0,3.0,65.0
248,3.0,8.0,50.0
249,3.0,8.0,50.0
250,17.0,13.0,27.0
251,17.0,13.0,27.0
252,17.0,0.0,24.0
253,17.0,0.0,24.0
254,12.0,5.0,19.0
255,12.0,5.0,19.0
256,12.0,6.0,0.0
257,12.0,6.0,0.0
258,0.0,12.0,13.0
259,0.0,12.0,13.0
260,5.0,12.0,15.0
261,5.0,12.0,15.0
262,5.0,0.0,21.0
263,5.0,0.0,21.0
264,0.0,0.0,8.0
265,0.0,0.0,8.0
266,0.0,0.0,8.0
267,0.0,0.0,8.0
268,1.0,4.0,20.0
269,1.0,4.0,20.0
270,1.0,18.0,19.0
271,1.0,18.0,19.0
272,0.0,35.0,21.0
273,0.0,35.0,21.0
274,8.0,2.0,28.0
275,8.0,2.0,28.0
276,9.0,2.0,35.0
277,9.0,2.0,35.0
278,8.0,3.0,38.0
279,8.0,3.0,38.0
280,11.0,6.0,58.0
281,11.0,6.0,58.0
282,11.0,4.0,50.0
283,11.0,4.0,50.0
284,10.0,3.0,40.0
285,10.0,3.0,40.0
286,11.0,9.0,57.0
287,11.0,9.0,57.0
288,0.0,14.0,67.0
289,0.0,14.0,67.0
290,13.0,18.0,85.0
291,13.0,18.0,85.0
292,14.0,12.0,92.0
293,14.0,12.0,92.0
294,14.0,13.0,93.0
295,14.0,13.0,93.0
296,14.0,5.0,109.0
297,14.0,5.0,109.0
298,14.0,4.0,124.0
299,14.0,4.0,124.0
300,25.0,10.0,124.0
301,25.0,10.0,124.0
302,39.0,18.0,131.0
303,39.0,18.0,131.0
304,35.0,23.0,195.0
305,35.0,23.0,195.0
306,10.0,27.0,227.0
307,10.0,27.0,227.0
308,5.0,34.0,177.0
309,5.0,34.0,177.0
310,9.0,58.0,180.0
311,9.0,58.0,180.0
312,11.0,77.0,178.0
313,11.0,77.0,178.0
314,10.0,73.0,94.0
315,10.0,73.0,94.0
316,10.0,77.0,80.0
317,10.0,77.0,80.0
318,5.0,75.0,85.0
319,5.0,75.0,85.0
320,11.0,121.0,89.0
321,11.0,121.0,89.0
322,15.0,95.0,102.0
323,15.0,95.0,102.0
324,11.0,64.0,97.0
325,11.0,64.0,97.0
326,9.0,62.0,117.0
327,9.0,62.0,117.0
328,11.0,81.0,176.0
329,11.0,81.0,176.0
330,12.0,55.0,145.0
331,12.0,55.0,145.0
332,12.0,64.0,137.0
333,12.0,64.0,137.0
334,8.0,102.0,207.0
335,8.0,102.0,207.0
336,13.0,102.0,221.0
337,13.0,102.0,221.0
338,36.0,6.0,221.0
339,36.0,6.0,221.0
340,50.0,13.0,158.0
341,50.0,13.0,158.0
342,36.0,21.0,156.0
343,36.0,21.0,156.0
344,8.0,32.0,233.0
345,8.0,32.0,233.0
346,2.0,13.0,241.0
347,2.0,13.0,241.0
348,0.0,16.0,213.0
349,0.0,16.0,213.0
350,2.0,24.0,183.0
351,2.0,24.0,183.0
352,2.0,33.0,164.0
353,2.0,33.0,164.0
354,0.0,69.0,112.0
355,0.0,69.0,112.0
356,0.0,78.0,17.0
357,0.0,78.0,17.0
358,0.0,108.0,30.0
359,0.0,108.0,30.0
360,0.0,137.0,31.0
361,0.0,137.0,31.0
362,3.0,162.0,17.0
363,3.0,162.0,17.0
364,3.0,184.0,19.0
365,3.0,184.0,19.0
366,0.0,244.0,27.0
367,0.0,244.0,27.0
368,4.0,246.0,31.0
369,4.0,246.0,31.0
370,4.0,184.0,30.0
371,4.0,184.0,30.0
372,0.0,30.0,23.0
373,0.0,30.0,23.0
374,0.0,6.0,19.0
375,0.0,6.0,19.0
376,13.0,9.0,9.0
377,13.0,9.0,9.0
378,11.0,9.0,14.0
379,11.0,9.0,14.0
380,13.0,3.0,16.0
381,13.0,3.0,16.0
382,18.0,3.0,18.0
383,18.0,3.0,18.0
384,13.0,3.0,27.0
385,13.0,3.0,27.0
386,8.0,5.0,23.0
387,8.0,5.0,23.0
388,5.0,5.0,28.0
389,5.0,5.0,28.0
390,5.0,1.0,40.0
391,5.0,1.0,40.0
392,4.0,2.0,48.0
393,4.0,2.0,48.0
394,10.0,5.0,57.0
395,10.0,5.0,57.0
396,10.0,6.0,66.0
397,10.0,6.0,66.0
398,4.0,4.0,60.0
399,4.0,4.0,60.0
400,3.0,1.0,50.0
401,3.0,1.0,50.0
402,3.0,3.0,89.0
403,3.0,3.0,89.0
404,2.0,5.0,115.0
405,2.0,5.0,115.0
406,2.0,8.0,91.0
407,2.0,8.0,91.0
408,12.0,17.0,94.0
409,12.0,17.0,94.0
410,7.0,22.0,75.0
411,7.0,22.0,75.0
412,11.0,23.0,82.0
413,11.0,23.0,82.0
414,13.0,0.0,127.0
415,13.0,0.0,127.0
416,12.0,2.0,124.0
417,12.0,2.0,124.0
418,16.0,6.0,115.0
419,16.0,6.0,115.0
420,19.0,6.0,110.0
421,19.0,6.0,110.0
422,21.0,7.0,97.0
423,21.0,7.0,97.0
424,21.0,8.0,98.0
425,21.0,8.0,98.0
426,17.0,9.0,123.0
427,17.0,9.0,123.0
428,13.0,11.0,119.0
429,13.0,11.0,119.0
430,13.0,11.0,119.0
431,9.0,19.0,116.0
432,13.0,20.0,112.0
433,13.0,20.0,112.0
434,11.0,14.0,43.0
435,11.0,14.0,43.0
436,8.0,7.0,51.0
437,8.0,7.0,51.0
438,9.0,16.0,66.0
439,9.0,16.0,66.0
440,8.0,21.0,45.0
441,8.0,21.0,45.0
442,9.0,0.0,41.0
443,9.0,0.0,41.0
444,8.0,0.0,54.0
