,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_atlanta
0,22.0,18.0,23.0,1.0,10.0,161.0,2.0,15.0,34.0,8.0
1,22.0,18.0,23.0,1.0,10.0,161.0,2.0,15.0,34.0,8.0
2,28.0,11.0,24.0,1.0,17.0,90.0,5.0,22.0,32.0,10.0
3,28.0,11.0,24.0,1.0,17.0,90.0,5.0,22.0,32.0,10.0
4,31.0,14.0,22.0,1.0,19.0,76.0,5.0,29.0,25.0,14.0
5,31.0,14.0,22.0,1.0,19.0,76.0,5.0,29.0,25.0,14.0
6,31.0,22.0,18.0,1.0,22.0,66.0,3.0,45.0,45.0,21.0
7,31.0,22.0,18.0,1.0,22.0,66.0,3.0,45.0,45.0,21.0
8,32.0,25.0,24.0,1.0,21.0,53.0,2.0,56.0,58.0,36.0
9,32.0,25.0,24.0,1.0,21.0,53.0,2.0,56.0,58.0,36.0
10,34.0,27.0,29.0,0.0,18.0,32.0,2.0,65.0,60.0,45.0
11,34.0,27.0,29.0,0.0,18.0,32.0,2.0,65.0,60.0,45.0
12,38.0,32.0,32.0,0.0,18.0,32.0,3.0,69.0,81.0,50.0
13,38.0,32.0,32.0,0.0,18.0,32.0,3.0,69.0,81.0,50.0
14,45.0,47.0,62.0,1.0,20.0,35.0,4.0,79.0,85.0,61.0
15,45.0,47.0,62.0,1.0,20.0,35.0,4.0,79.0,85.0,61.0
16,62.0,59.0,51.0,1.0,24.0,46.0,6.0,76.0,84.0,86.0
17,62.0,59.0,51.0,1.0,24.0,46.0,6.0,76.0,84.0,86.0
18,78.0,55.0,46.0,2.0,29.0,64.0,9.0,54.0,88.0,70.0
19,78.0,55.0,46.0,2.0,29.0,64.0,9.0,54.0,88.0,70.0
20,83.0,51.0,46.0,2.0,39.0,76.0,9.0,57.0,53.0,57.0
21,83.0,51.0,46.0,2.0,39.0,76.0,9.0,57.0,53.0,57.0
22,83.0,60.0,82.0,2.0,52.0,103.0,7.0,81.0,27.0,25.0
23,83.0,60.0,82.0,2.0,52.0,103.0,7.0,81.0,27.0,25.0
24,108.0,49.0,88.0,2.0,56.0,116.0,4.0,92.0,32.0,19.0
25,108.0,49.0,88.0,2.0,56.0,116.0,4.0,92.0,32.0,19.0
26,117.0,41.0,111.0,3.0,66.0,133.0,6.0,99.0,43.0,42.0
27,117.0,41.0,111.0,3.0,66.0,133.0,6.0,99.0,43.0,42.0
28,119.0,31.0,174.0,5.0,68.0,138.0,8.0,120.0,57.0,195.0
29,119.0,31.0,174.0,5.0,68.0,138.0,8.0,120.0,57.0,195.0
30,116.0,23.0,167.0,7.0,53.0,107.0,7.0,93.0,84.0,44.0
31,116.0,23.0,167.0,7.0,53.0,107.0,7.0,93.0,84.0,44.0
32,124.0,18.0,138.0,11.0,53.0,117.0,4.0,66.0,88.0,6.0
33,124.0,18.0,138.0,11.0,53.0,117.0,4.0,66.0,88.0,6.0
34,122.0,19.0,88.0,13.0,42.0,155.0,4.0,55.0,97.0,5.0
35,122.0,19.0,88.0,13.0,42.0,155.0,4.0,55.0,97.0,5.0
36,129.0,29.0,52.0,17.0,32.0,177.0,4.0,38.0,121.0,7.0
37,129.0,29.0,52.0,17.0,32.0,177.0,4.0,38.0,121.0,7.0
38,154.0,21.0,36.0,21.0,22.0,183.0,5.0,47.0,122.0,8.0
