,traffic-nj511-minutes-nj_turnpike_exit_8a_to_nj_turnpike_exit_14,traffic-nj511-minutes-nj_turnpike_exit_18w_to_nj_turnpike_exit_14,traffic-nj511-minutes-nj_turnpike_exit_6_to_nj_turnpike_exit_1,traffic-nj511-minutes-ny_side_to_nj_turnpike_exit_14c,traffic-nj511-minutes-nj_turnpike_exit_18w_to_gw_bridge_via_express_lanes,traffic-nj511-minutes-gw_bridge_to_nj_turnpike_exit_18w_via_local_lanes,traffic-nj511-minutes-gw_bridge_to_nj_turnpike_exit_18w_via_express_lanes,traffic-nj511-minutes-nj_turnpike_exit_18w_to_gw_bridge_via_local_lanes,traffic-nj511-minutes-nj_turnpike_exit_14_to_nj_turnpike_exit_18w,traffic-nj511-minutes-i-95_from_the_delaware_side_to_nj_turnpike_exit_1,traffic-nj511-minutes-nj_turnpike_exit_1_to_nj_turnpike_exit_6,traffic-nj511-minutes-nj_turnpike_from_exit_1_to_delaware,traffic-nj511-minutes-nj_turnpike_from_exit_14c_to_the_ny_side,traffic-nj511-minutes-nj_turnpike_exit_14_to_nj_turnpike_exit_8a
0,30.0,8.0,47.0,12.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,12.0,31.0
1,30.0,8.0,47.0,13.0,10.0,11.0,11.0,10.0,11.0,8.0,46.0,8.0,12.0,31.0
2,30.0,8.0,47.0,12.0,10.0,11.0,11.0,10.0,11.0,8.0,46.0,8.0,12.0,31.0
3,30.0,8.0,47.0,12.0,10.0,11.0,10.0,10.0,11.0,8.0,46.0,8.0,13.0,31.0
4,30.0,8.0,47.0,12.0,10.0,11.0,10.0,10.0,11.0,8.0,46.0,8.0,12.0,31.0
5,30.0,8.0,47.0,12.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,13.0,31.0
6,30.0,8.0,47.0,12.0,11.0,10.0,10.0,11.0,11.0,8.0,46.0,8.0,13.0,31.0
7,30.0,8.0,47.0,12.0,11.0,11.0,11.0,12.0,11.0,8.0,46.0,8.0,14.0,31.0
8,30.0,8.0,47.0,13.0,11.0,11.0,11.0,11.0,11.0,8.0,46.0,8.0,13.0,31.0
9,30.0,8.0,47.0,13.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,13.0,31.0
10,30.0,8.0,47.0,13.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,13.0,31.0
11,30.0,8.0,47.0,13.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,13.0,31.0
12,30.0,8.0,47.0,13.0,11.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,14.0,31.0
13,30.0,8.0,47.0,13.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,15.0,31.0
14,30.0,8.0,47.0,12.0,10.0,11.0,11.0,10.0,11.0,8.0,46.0,8.0,15.0,31.0
15,30.0,8.0,47.0,12.0,10.0,11.0,10.0,11.0,11.0,8.0,46.0,8.0,17.0,31.0
16,30.0,8.0,47.0,11.0,10.0,10.0,10.0,11.0,11.0,8.0,46.0,8.0,17.0,31.0
17,30.0,8.0,47.0,10.0,11.0,10.0,10.0,11.0,11.0,8.0,46.0,8.0,18.0,31.0
18,30.0,8.0,47.0,9.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,17.0,31.0
19,30.0,8.0,47.0,8.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,16.0,31.0
20,30.0,8.0,47.0,8.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,16.0,31.0
21,30.0,8.0,47.0,8.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,17.0,31.0
22,30.0,8.0,47.0,8.0,11.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,16.0,31.0
23,30.0,8.0,47.0,8.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,15.0,31.0
24,30.0,8.0,47.0,8.0,11.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,15.0,31.0
25,30.0,8.0,47.0,8.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,15.0,31.0
26,30.0,8.0,47.0,8.0,11.0,10.0,10.0,11.0,11.0,8.0,46.0,8.0,15.0,31.0
27,30.0,8.0,47.0,8.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,14.0,31.0
28,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,14.0,31.0
29,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,14.0,31.0
30,30.0,8.0,47.0,8.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,14.0,31.0
31,30.0,8.0,47.0,8.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,14.0,31.0
32,30.0,8.0,47.0,7.0,11.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,14.0,31.0
33,30.0,8.0,47.0,8.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,14.0,31.0
34,30.0,8.0,47.0,8.0,10.0,10.0,10.0,11.0,11.0,8.0,46.0,8.0,13.0,31.0
35,30.0,8.0,47.0,8.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,14.0,31.0
36,30.0,8.0,47.0,8.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,15.0,31.0
37,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,15.0,31.0
38,30.0,8.0,47.0,7.0,10.0,10.0,10.0,11.0,11.0,8.0,46.0,8.0,15.0,31.0
39,30.0,8.0,47.0,8.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,14.0,31.0
40,30.0,8.0,47.0,8.0,10.0,10.0,10.0,11.0,11.0,8.0,46.0,8.0,14.0,31.0
41,30.0,8.0,47.0,8.0,10.0,10.0,11.0,10.0,11.0,8.0,46.0,8.0,13.0,31.0
42,30.0,8.0,47.0,7.0,10.0,10.0,11.0,10.0,11.0,8.0,46.0,8.0,13.0,31.0
43,30.0,8.0,47.0,7.0,10.0,10.0,11.0,10.0,11.0,8.0,46.0,8.0,12.0,31.0
44,30.0,8.0,47.0,8.0,10.0,10.0,11.0,10.0,11.0,8.0,46.0,8.0,11.0,31.0
45,30.0,8.0,47.0,8.0,10.0,10.0,11.0,10.0,11.0,8.0,46.0,8.0,11.0,31.0
46,30.0,8.0,47.0,8.0,10.0,10.0,11.0,10.0,11.0,8.0,46.0,8.0,11.0,31.0
47,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,10.0,31.0
48,30.0,8.0,47.0,8.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,10.0,31.0
49,30.0,8.0,47.0,8.0,10.0,10.0,10.0,11.0,11.0,8.0,46.0,8.0,10.0,31.0
50,30.0,8.0,47.0,8.0,10.0,10.0,10.0,11.0,11.0,8.0,46.0,8.0,8.0,31.0
51,30.0,8.0,47.0,8.0,10.0,10.0,10.0,11.0,11.0,8.0,46.0,8.0,9.0,31.0
52,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,9.0,31.0
53,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,9.0,31.0
54,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,9.0,31.0
55,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,9.0,31.0
56,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,10.0,31.0
57,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,9.0,31.0
58,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,9.0,31.0
59,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
60,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
61,30.0,9.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
62,30.0,10.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
63,30.0,8.0,47.0,8.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
64,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
65,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
66,30.0,8.0,47.0,7.0,18.0,10.0,10.0,14.0,11.0,8.0,46.0,8.0,8.0,31.0
67,30.0,8.0,47.0,7.0,17.0,10.0,10.0,14.0,11.0,8.0,46.0,8.0,8.0,31.0
68,30.0,8.0,47.0,7.0,14.0,10.0,10.0,13.0,11.0,8.0,46.0,8.0,8.0,31.0
69,30.0,8.0,47.0,7.0,13.0,10.0,10.0,12.0,11.0,8.0,46.0,8.0,8.0,31.0
70,30.0,8.0,47.0,7.0,11.0,10.0,10.0,11.0,11.0,8.0,46.0,8.0,8.0,31.0
71,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
72,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
73,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
74,30.0,8.0,47.0,7.0,10.0,10.0,10.0,11.0,11.0,8.0,46.0,8.0,8.0,31.0
75,30.0,8.0,47.0,7.0,10.0,10.0,10.0,11.0,11.0,8.0,46.0,8.0,8.0,31.0
76,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
77,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
78,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
79,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
80,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
81,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
82,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
83,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
84,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
85,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
86,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
87,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
88,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
89,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
90,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
91,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
92,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
93,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
94,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
95,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
96,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
97,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
98,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
99,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
100,30.0,8.0,47.0,7.0,10.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
101,30.0,8.0,47.0,7.0,10.0,10.0,10.0,12.0,11.0,8.0,46.0,8.0,8.0,31.0
102,30.0,8.0,47.0,7.0,10.0,10.0,10.0,11.0,11.0,8.0,46.0,8.0,8.0,31.0
103,30.0,8.0,47.0,7.0,12.0,10.0,10.0,10.0,11.0,8.0,46.0,8.0,8.0,31.0
104,30.0,8.0,47.0,7.0,12.0,10.0,10.0,11.0,11.0,8.0,46.0,8.0,8.0,31.0
