,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level
0,23.0,26.0,27.0,22.0
1,23.0,26.0,27.0,23.0
2,22.0,27.0,27.0,21.0
3,21.0,27.0,27.0,21.0
4,19.0,25.0,26.0,18.0
5,20.0,25.0,26.0,18.0
6,20.0,25.0,26.0,19.0
7,21.0,25.0,26.0,20.0
8,20.0,25.0,26.0,19.0
9,21.0,25.0,27.0,19.0
10,20.0,25.0,26.0,19.0
11,23.0,27.0,29.0,20.0
12,27.0,28.0,33.0,22.0
13,27.0,28.0,33.0,22.0
14,22.0,27.0,27.0,22.0
15,21.0,27.0,26.0,22.0
16,22.0,26.0,26.0,22.0
17,21.0,25.0,26.0,21.0
18,20.0,24.0,25.0,20.0
19,22.0,23.0,24.0,22.0
20,23.0,22.0,23.0,22.0
21,22.0,20.0,21.0,22.0
22,23.0,19.0,19.0,22.0
23,23.0,19.0,19.0,23.0
24,23.0,19.0,20.0,22.0
25,22.0,19.0,20.0,21.0
26,23.0,18.0,19.0,21.0
27,22.0,19.0,19.0,22.0
28,22.0,19.0,19.0,21.0
29,21.0,19.0,19.0,20.0
30,21.0,19.0,20.0,20.0
31,19.0,20.0,20.0,18.0
32,18.0,21.0,21.0,18.0
33,18.0,20.0,21.0,17.0
34,17.0,20.0,21.0,17.0
35,15.0,19.0,19.0,14.0
36,14.0,17.0,17.0,14.0
37,14.0,16.0,17.0,13.0
38,14.0,15.0,16.0,13.0
39,14.0,13.0,14.0,13.0
40,13.0,12.0,13.0,12.0
41,13.0,12.0,13.0,12.0
42,13.0,12.0,13.0,12.0
43,13.0,12.0,12.0,12.0
44,12.0,13.0,14.0,12.0
45,12.0,14.0,14.0,12.0
46,12.0,14.0,13.0,12.0
47,12.0,13.0,12.0,12.0
48,12.0,12.0,11.0,12.0
49,12.0,11.0,11.0,11.0
50,12.0,11.0,11.0,12.0
51,12.0,11.0,11.0,12.0
52,12.0,11.0,11.0,11.0
53,12.0,11.0,11.0,11.0
54,13.0,11.0,13.0,11.0
55,13.0,11.0,13.0,12.0
56,12.0,12.0,11.0,13.0
57,12.0,11.0,11.0,11.0
58,12.0,11.0,11.0,11.0
59,12.0,11.0,12.0,11.0
60,12.0,11.0,11.0,11.0
61,12.0,11.0,11.0,11.0
62,12.0,11.0,11.0,11.0
63,12.0,11.0,11.0,11.0
64,12.0,12.0,11.0,13.0
65,12.0,12.0,11.0,12.0
66,12.0,12.0,11.0,12.0
67,12.0,12.0,11.0,12.0
68,12.0,11.0,11.0,11.0
69,12.0,11.0,11.0,11.0
70,12.0,11.0,11.0,11.0
71,12.0,11.0,12.0,11.0
72,12.0,12.0,11.0,12.0
73,12.0,12.0,11.0,12.0
74,13.0,12.0,13.0,12.0
75,12.0,11.0,11.0,11.0
76,12.0,11.0,11.0,11.0
77,12.0,11.0,11.0,11.0
78,12.0,11.0,11.0,11.0
79,12.0,11.0,11.0,11.0
80,12.0,11.0,11.0,11.0
81,12.0,11.0,11.0,11.0
82,12.0,11.0,11.0,11.0
83,12.0,11.0,11.0,11.0
84,12.0,11.0,12.0,11.0
85,12.0,11.0,11.0,11.0
86,12.0,11.0,11.0,11.0
87,12.0,11.0,11.0,13.0
88,12.0,17.0,12.0,20.0
89,12.0,17.0,12.0,19.0
90,12.0,14.0,12.0,15.0
91,16.0,13.0,16.0,14.0
92,22.0,14.0,22.0,14.0
93,24.0,15.0,24.0,15.0
94,18.0,26.0,20.0,25.0
95,19.0,26.0,20.0,25.0
96,18.0,17.0,20.0,17.0
97,19.0,14.0,19.0,14.0
98,17.0,13.0,17.0,14.0
99,17.0,13.0,16.0,14.0
100,14.0,12.0,13.0,14.0
101,13.0,13.0,13.0,14.0
102,13.0,12.0,12.0,13.0
103,13.0,18.0,12.0,19.0
104,12.0,17.0,11.0,18.0
105,12.0,17.0,11.0,18.0
106,12.0,11.0,11.0,12.0
107,12.0,11.0,11.0,11.0
108,12.0,11.0,11.0,11.0
109,12.0,12.0,11.0,12.0
110,12.0,11.0,11.0,11.0
111,12.0,11.0,11.0,11.0
112,12.0,11.0,11.0,12.0
113,12.0,11.0,11.0,11.0
114,12.0,11.0,11.0,11.0
115,12.0,11.0,11.0,12.0
116,12.0,11.0,11.0,11.0
117,12.0,11.0,11.0,11.0
118,12.0,11.0,11.0,12.0
119,12.0,11.0,11.0,12.0
120,12.0,11.0,11.0,11.0
121,12.0,11.0,11.0,11.0
122,12.0,11.0,11.0,11.0
123,12.0,11.0,11.0,11.0
124,12.0,11.0,11.0,11.0
125,12.0,11.0,11.0,11.0
126,12.0,11.0,11.0,11.0
127,12.0,11.0,11.0,11.0
128,12.0,11.0,11.0,11.0
129,12.0,11.0,11.0,11.0
130,12.0,11.0,11.0,11.0
131,12.0,11.0,11.0,11.0
132,12.0,11.0,11.0,11.0
133,12.0,11.0,11.0,11.0
134,12.0,11.0,11.0,11.0
135,12.0,11.0,11.0,11.0
136,12.0,11.0,11.0,11.0
137,12.0,11.0,11.0,12.0
138,12.0,11.0,11.0,11.0
139,12.0,11.0,11.0,11.0
140,12.0,11.0,11.0,11.0
141,12.0,11.0,11.0,11.0
142,12.0,11.0,11.0,11.0
143,12.0,11.0,11.0,11.0
144,12.0,11.0,11.0,11.0
145,12.0,11.0,11.0,11.0
146,12.0,11.0,11.0,11.0
147,12.0,11.0,11.0,11.0
148,12.0,11.0,11.0,11.0
149,12.0,11.0,11.0,11.0
150,12.0,11.0,11.0,11.0
151,13.0,11.0,12.0,11.0
152,12.0,11.0,11.0,11.0
153,12.0,11.0,11.0,11.0
154,12.0,11.0,11.0,11.0
155,12.0,11.0,11.0,11.0
156,12.0,11.0,11.0,11.0
157,12.0,11.0,11.0,11.0
158,12.0,11.0,11.0,11.0
159,12.0,11.0,11.0,11.0
160,12.0,11.0,11.0,11.0
161,12.0,11.0,11.0,11.0
162,12.0,11.0,11.0,11.0
163,12.0,11.0,11.0,11.0
164,12.0,11.0,11.0,11.0
165,12.0,11.0,11.0,12.0
166,12.0,11.0,11.0,12.0
167,12.0,11.0,11.0,12.0
168,12.0,11.0,11.0,11.0
169,12.0,11.0,11.0,11.0
170,12.0,11.0,11.0,11.0
171,12.0,11.0,11.0,11.0
172,12.0,11.0,11.0,11.0
