,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level
0,21.0,11.0,27.0,15.0
1,21.0,11.0,26.0,15.0
2,21.0,11.0,26.0,15.0
3,21.0,11.0,26.0,14.0
4,21.0,11.0,26.0,14.0
5,20.0,11.0,25.0,15.0
6,20.0,12.0,24.0,14.0
7,20.0,12.0,24.0,14.0
8,20.0,14.0,24.0,15.0
9,20.0,13.0,24.0,15.0
10,20.0,14.0,24.0,15.0
11,13.0,14.0,12.0,14.0
12,13.0,14.0,12.0,15.0
13,12.0,14.0,11.0,15.0
14,13.0,14.0,12.0,15.0
15,14.0,14.0,13.0,14.0
16,15.0,13.0,14.0,15.0
17,13.0,13.0,12.0,15.0
18,14.0,12.0,13.0,16.0
19,12.0,11.0,11.0,15.0
20,13.0,11.0,12.0,15.0
21,13.0,11.0,12.0,16.0
22,12.0,11.0,11.0,16.0
23,12.0,13.0,11.0,17.0
24,12.0,12.0,11.0,16.0
25,12.0,12.0,11.0,16.0
26,12.0,12.0,11.0,15.0
27,12.0,13.0,11.0,15.0
28,12.0,13.0,11.0,15.0
29,12.0,13.0,11.0,15.0
30,12.0,14.0,11.0,16.0
31,12.0,15.0,11.0,17.0
32,12.0,15.0,11.0,16.0
33,12.0,15.0,11.0,16.0
34,12.0,15.0,11.0,16.0
35,12.0,15.0,11.0,16.0
36,12.0,16.0,11.0,17.0
37,12.0,17.0,11.0,17.0
38,12.0,15.0,11.0,17.0
39,12.0,15.0,11.0,18.0
40,12.0,21.0,11.0,18.0
41,12.0,21.0,11.0,18.0
42,12.0,14.0,11.0,17.0
43,12.0,19.0,11.0,18.0
44,12.0,23.0,11.0,20.0
45,12.0,21.0,11.0,20.0
46,12.0,15.0,11.0,19.0
47,12.0,15.0,11.0,20.0
48,12.0,22.0,11.0,21.0
49,12.0,21.0,11.0,22.0
50,12.0,20.0,11.0,25.0
51,12.0,20.0,11.0,25.0
