,traffic-nj511-minutes-i-95_from_i-80_to_the_alexander_hamilton_bridge_via_lower_level,traffic-nj511-minutes-route_46_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_lower_level,traffic-nj511-minutes-route_4_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_upper_level,traffic-nj511-minutes-i-95_from_i-80_to_the_alexander_hamilton_bridge_via_upper_level,traffic-nj511-minutes-route_4_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_lower_level
0,8.0,6.0,24.0,33.0,5.0
1,8.0,6.0,24.0,32.0,5.0
2,9.0,6.0,24.0,32.0,5.0
3,8.0,6.0,25.0,33.0,5.0
4,8.0,6.0,25.0,33.0,5.0
5,7.0,5.0,25.0,33.0,5.0
6,7.0,5.0,24.0,32.0,5.0
7,7.0,5.0,24.0,32.0,5.0
8,7.0,5.0,23.0,31.0,5.0
9,8.0,6.0,23.0,30.0,5.0
10,8.0,6.0,23.0,30.0,5.0
11,9.0,6.0,22.0,29.0,5.0
12,9.0,6.0,22.0,29.0,6.0
13,8.0,6.0,22.0,29.0,5.0
14,8.0,6.0,22.0,29.0,5.0
15,8.0,6.0,24.0,31.0,5.0
16,9.0,6.0,24.0,31.0,5.0
17,9.0,6.0,24.0,31.0,5.0
18,8.0,6.0,25.0,33.0,5.0
19,8.0,5.0,25.0,33.0,5.0
20,8.0,5.0,24.0,32.0,5.0
21,9.0,5.0,24.0,31.0,5.0
22,9.0,6.0,24.0,32.0,5.0
23,9.0,6.0,21.0,29.0,5.0
24,9.0,6.0,19.0,25.0,6.0
25,10.0,7.0,17.0,23.0,7.0
26,14.0,11.0,17.0,22.0,10.0
27,15.0,12.0,17.0,22.0,11.0
28,14.0,11.0,17.0,21.0,10.0
29,12.0,9.0,16.0,20.0,8.0
30,11.0,8.0,16.0,19.0,8.0
31,11.0,7.0,15.0,18.0,7.0
32,9.0,6.0,14.0,18.0,5.0
33,9.0,6.0,14.0,17.0,5.0
34,9.0,6.0,14.0,17.0,5.0
35,10.0,6.0,14.0,18.0,6.0
36,10.0,7.0,14.0,17.0,6.0
37,10.0,7.0,13.0,16.0,6.0
38,11.0,7.0,12.0,16.0,6.0
39,11.0,7.0,11.0,14.0,7.0
40,11.0,8.0,9.0,12.0,7.0
41,12.0,8.0,9.0,13.0,8.0
42,11.0,8.0,11.0,15.0,8.0
43,11.0,8.0,10.0,15.0,7.0
44,11.0,7.0,8.0,11.0,7.0
45,10.0,7.0,7.0,11.0,7.0
46,11.0,8.0,6.0,8.0,7.0
47,12.0,9.0,5.0,8.0,8.0
48,12.0,9.0,5.0,7.0,8.0
49,13.0,9.0,5.0,7.0,9.0
50,12.0,10.0,5.0,7.0,9.0
51,13.0,9.0,5.0,7.0,9.0
52,13.0,9.0,5.0,7.0,9.0
53,13.0,9.0,5.0,7.0,9.0
54,13.0,9.0,5.0,7.0,8.0
55,13.0,9.0,5.0,7.0,8.0
56,12.0,8.0,5.0,7.0,8.0
57,13.0,8.0,5.0,7.0,7.0
58,12.0,8.0,5.0,7.0,7.0
59,12.0,8.0,5.0,7.0,7.0
60,11.0,7.0,5.0,7.0,7.0
61,11.0,7.0,5.0,7.0,7.0
62,12.0,8.0,5.0,8.0,7.0
63,13.0,8.0,5.0,8.0,8.0
64,13.0,9.0,5.0,7.0,8.0
65,13.0,9.0,5.0,7.0,9.0
66,13.0,9.0,5.0,7.0,9.0
67,13.0,9.0,5.0,7.0,9.0
68,14.0,10.0,5.0,7.0,9.0
69,14.0,10.0,5.0,7.0,10.0
70,16.0,11.0,5.0,7.0,10.0
71,16.0,11.0,5.0,7.0,10.0
72,18.0,12.0,5.0,7.0,12.0
73,18.0,13.0,5.0,7.0,12.0
74,19.0,13.0,5.0,7.0,12.0
75,20.0,14.0,5.0,7.0,13.0
76,20.0,15.0,5.0,7.0,14.0
77,22.0,16.0,5.0,7.0,15.0
78,22.0,16.0,5.0,7.0,15.0
79,24.0,18.0,5.0,7.0,16.0
80,23.0,18.0,5.0,8.0,15.0
81,23.0,18.0,6.0,9.0,16.0
82,23.0,19.0,6.0,10.0,16.0
83,23.0,19.0,7.0,10.0,15.0
84,23.0,19.0,7.0,10.0,15.0
85,24.0,19.0,6.0,9.0,15.0
86,24.0,19.0,6.0,8.0,15.0
87,23.0,18.0,5.0,7.0,15.0
88,23.0,18.0,5.0,7.0,15.0
89,24.0,18.0,5.0,7.0,15.0
90,24.0,18.0,5.0,7.0,15.0
91,24.0,19.0,5.0,7.0,16.0
92,25.0,19.0,5.0,7.0,16.0
93,25.0,19.0,5.0,7.0,16.0
94,27.0,19.0,5.0,7.0,16.0
95,26.0,19.0,5.0,7.0,16.0
96,26.0,20.0,5.0,7.0,16.0
97,27.0,20.0,5.0,7.0,17.0
98,26.0,21.0,5.0,7.0,17.0
99,25.0,20.0,5.0,7.0,16.0
100,26.0,20.0,5.0,7.0,16.0
101,25.0,20.0,5.0,7.0,16.0
102,25.0,20.0,5.0,7.0,16.0
103,25.0,21.0,5.0,7.0,16.0
104,25.0,21.0,5.0,7.0,16.0
105,25.0,21.0,5.0,7.0,16.0
106,25.0,21.0,5.0,7.0,16.0
107,25.0,21.0,5.0,7.0,16.0
108,26.0,22.0,5.0,7.0,16.0
109,25.0,20.0,5.0,7.0,15.0
110,24.0,19.0,5.0,7.0,15.0
111,24.0,19.0,5.0,7.0,15.0
112,23.0,17.0,5.0,7.0,14.0
113,22.0,16.0,5.0,7.0,13.0
114,21.0,15.0,5.0,7.0,13.0
115,20.0,15.0,5.0,7.0,12.0
116,20.0,14.0,5.0,7.0,12.0
117,21.0,14.0,5.0,7.0,13.0
118,21.0,14.0,5.0,7.0,13.0
119,21.0,14.0,5.0,7.0,13.0
120,21.0,14.0,5.0,7.0,13.0
121,21.0,15.0,5.0,7.0,14.0
122,21.0,15.0,5.0,7.0,14.0
123,22.0,15.0,5.0,7.0,14.0
124,22.0,15.0,5.0,7.0,14.0
125,23.0,13.0,5.0,7.0,13.0
126,21.0,13.0,5.0,7.0,12.0
127,20.0,12.0,5.0,7.0,12.0
128,20.0,13.0,5.0,7.0,12.0
129,18.0,13.0,5.0,7.0,12.0
130,18.0,13.0,5.0,7.0,12.0
131,17.0,13.0,5.0,7.0,13.0
132,19.0,14.0,5.0,7.0,14.0
133,20.0,16.0,5.0,7.0,16.0
134,19.0,17.0,5.0,7.0,16.0
135,19.0,16.0,5.0,7.0,15.0
136,18.0,15.0,5.0,7.0,15.0
137,18.0,15.0,5.0,7.0,15.0
138,18.0,15.0,5.0,7.0,15.0
139,17.0,15.0,5.0,7.0,14.0
140,17.0,14.0,5.0,7.0,13.0
141,16.0,13.0,5.0,7.0,13.0
142,15.0,12.0,5.0,7.0,11.0
143,13.0,11.0,5.0,7.0,10.0
144,12.0,9.0,5.0,7.0,9.0
145,12.0,8.0,5.0,7.0,7.0
146,12.0,7.0,5.0,7.0,7.0
147,9.0,6.0,5.0,7.0,5.0
148,8.0,6.0,5.0,7.0,5.0
149,7.0,6.0,5.0,7.0,5.0
150,7.0,5.0,5.0,7.0,5.0
151,8.0,5.0,5.0,7.0,5.0
152,8.0,5.0,5.0,7.0,5.0
153,8.0,5.0,5.0,7.0,5.0
154,8.0,5.0,5.0,7.0,5.0
155,7.0,5.0,5.0,7.0,5.0
156,7.0,5.0,5.0,7.0,5.0
157,7.0,5.0,5.0,7.0,5.0
158,7.0,5.0,5.0,7.0,5.0
159,7.0,5.0,5.0,7.0,5.0
160,7.0,5.0,5.0,7.0,5.0
161,7.0,6.0,5.0,7.0,5.0
162,7.0,5.0,5.0,7.0,5.0
163,7.0,5.0,5.0,7.0,5.0
164,7.0,5.0,5.0,7.0,5.0
165,7.0,5.0,5.0,7.0,5.0
166,7.0,5.0,5.0,7.0,5.0
167,7.0,5.0,5.0,7.0,5.0
168,7.0,6.0,5.0,7.0,5.0
169,7.0,5.0,5.0,7.0,5.0
170,7.0,5.0,5.0,7.0,5.0
171,7.0,6.0,5.0,7.0,5.0
172,7.0,5.0,5.0,7.0,5.0
173,7.0,5.0,5.0,7.0,5.0
174,7.0,5.0,5.0,7.0,5.0
175,7.0,5.0,5.0,7.0,5.0
176,7.0,5.0,5.0,7.0,5.0
177,7.0,5.0,5.0,7.0,5.0
178,7.0,5.0,5.0,7.0,5.0
179,10.0,6.0,5.0,7.0,6.0
180,12.0,7.0,5.0,7.0,7.0
181,10.0,7.0,5.0,7.0,7.0
182,10.0,6.0,5.0,7.0,7.0
